length,dstport,highest_layer,delta,ack_flag,microphone,content_type,class
524,80,3.0,0,1,1,0.0,not_relevant
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,6,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,3,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,3,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,3,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,6,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
524,80,3.0,0,1,1,0.0,not_relevant
66,80,1.0,2194,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,1,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,3,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
66,80,1.0,0,1,1,0.0,ack
