length,dstport,highest_layer,delta,ack_flag,microphone,content_type,class
100,443,3.0,0,1,1,23.0,syn
1514,443,1.0,3652417706,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
288,443,3.0,0,1,1,23.0,expected
74,443,1.0,3652665517,0,1,0.0,retransmit
1514,443,1.0,65,1,1,0.0,not_relevant
1514,443,1.0,17,1,1,0.0,not_relevant
312,443,3.0,0,1,1,22.0,handshake
1514,443,1.0,43,1,1,0.0,not_relevant
1514,443,1.0,1,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
92,443,3.0,0,1,1,23.0,expected
105,443,3.0,0,1,1,20.0,handshake
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
184,443,3.0,0,1,1,23.0,expected
85,443,3.0,0,1,1,21.0,handshake
184,443,3.0,0,1,1,23.0,expected
184,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
1514,443,1.0,166,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
92,443,3.0,0,1,1,23.0,expected
74,443,1.0,3652666109,0,1,0.0,retransmit
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
85,443,3.0,0,1,1,21.0,handshake
1514,443,1.0,534,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
92,443,3.0,0,1,1,23.0,expected
74,443,1.0,3652665860,0,1,0.0,retransmit
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
54,443,1.0,0,1,1,0.0,ack
54,443,1.0,3,1,1,0.0,ack
85,443,3.0,0,1,1,21.0,handshake
74,443,1.0,3652666011,0,1,0.0,retransmit
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
1514,443,1.0,194,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
85,443,3.0,0,1,1,21.0,handshake
1514,443,1.0,70,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
136,443,3.0,0,1,1,23.0,expected
54,443,1.0,88,1,1,0.0,ack
74,443,1.0,3652629700,0,1,0.0,retransmit
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
85,443,3.0,0,1,1,21.0,handshake
1514,443,1.0,5548,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
92,443,3.0,0,1,1,23.0,expected
1514,443,1.0,54,1,1,0.0,not_relevant
1514,443,1.0,1,1,1,0.0,not_relevant
1514,443,1.0,237,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
100,443,3.0,0,1,1,23.0,syn
100,443,3.0,0,1,1,23.0,syn
74,80,1.0,3652656004,0,1,0.0,retransmit
256,80,3.0,0,1,1,0.0,not_relevant
66,80,1.0,31,1,1,0.0,ack
74,80,1.0,3652621585,0,1,0.0,retransmit
200,80,3.0,0,1,1,0.0,not_relevant
1514,443,1.0,13104,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
74,443,1.0,3652631449,0,1,0.0,retransmit
1514,443,1.0,48,1,1,0.0,not_relevant
1514,443,1.0,1,1,1,0.0,not_relevant
1514,443,1.0,11,1,1,0.0,not_relevant
1514,443,1.0,45,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
85,443,3.0,0,1,1,21.0,handshake
1514,443,1.0,318,1,1,0.0,not_relevant
1514,443,1.0,2,1,1,0.0,not_relevant
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
74,443,1.0,3652633090,0,1,0.0,retransmit
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
85,443,3.0,0,1,1,21.0,handshake
74,443,1.0,3652633270,0,1,0.0,retransmit
190,443,3.0,0,1,1,23.0,expected
1514,443,1.0,94,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
779,443,3.0,0,1,1,23.0,expected
54,443,1.0,15,1,1,0.0,ack
74,443,1.0,3652554687,0,1,0.0,retransmit
85,443,3.0,0,1,1,21.0,handshake
190,443,3.0,0,1,1,23.0,expected
312,443,3.0,0,1,1,22.0,handshake
1514,443,1.0,38,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
105,443,3.0,0,1,1,20.0,handshake
74,443,1.0,3652493727,0,1,0.0,retransmit
85,443,3.0,0,1,1,21.0,handshake
312,443,3.0,0,1,1,22.0,handshake
1514,443,1.0,91,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
105,443,3.0,0,1,1,20.0,handshake
85,443,3.0,0,1,1,21.0,handshake
54,443,1.0,57,1,1,0.0,ack
100,443,3.0,0,1,1,23.0,syn
287,443,3.0,0,1,1,23.0,expected
1514,443,1.0,5723,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
1514,443,1.0,113,1,1,0.0,not_relevant
1514,443,1.0,4,1,1,0.0,not_relevant
1514,443,3.0,0,1,1,23.0,expected
1514,443,1.0,115,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
1514,443,1.0,25788,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
1514,443,3.0,0,1,1,23.0,expected
74,443,1.0,3652623045,0,1,0.0,retransmit
1514,443,1.0,51,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
1514,443,1.0,38,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
312,443,3.0,0,1,1,22.0,handshake
172,443,3.0,0,1,1,23.0,expected
54,443,1.0,86,1,1,0.0,ack
180,443,3.0,0,1,1,22.0,handshake
85,443,3.0,0,1,1,21.0,handshake
1514,443,1.0,311,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
100,443,3.0,0,1,1,23.0,syn
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
92,443,3.0,0,1,1,23.0,expected
74,443,1.0,3652638739,0,1,0.0,retransmit
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
85,443,3.0,0,1,1,21.0,handshake
74,443,1.0,3652637365,0,1,0.0,retransmit
1514,443,1.0,54,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
423,443,3.0,0,1,1,23.0,expected
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
74,443,1.0,3652635083,0,1,0.0,retransmit
312,443,3.0,0,1,1,22.0,handshake
85,443,3.0,0,1,1,21.0,handshake
105,443,3.0,0,1,1,20.0,handshake
1514,443,1.0,148,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
1514,443,1.0,103,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
544,443,3.0,0,1,1,23.0,expected
85,443,3.0,0,1,1,21.0,handshake
74,443,1.0,3652634943,0,1,0.0,retransmit
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
85,443,3.0,0,1,1,21.0,handshake
54,443,1.0,68,1,1,0.0,ack
1514,443,1.0,5826,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
295,443,3.0,0,1,1,23.0,expected
1514,443,1.0,66,1,1,0.0,not_relevant
1514,443,1.0,1,1,1,0.0,not_relevant
92,443,3.0,0,1,1,23.0,expected
1514,443,1.0,248,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
543,443,3.0,0,1,1,23.0,expected
100,443,3.0,0,1,1,23.0,syn
1514,443,1.0,10306,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
74,443,1.0,3652671987,0,1,0.0,retransmit
1514,443,1.0,41,1,1,0.0,not_relevant
1514,443,1.0,12,1,1,0.0,not_relevant
1293,443,3.0,0,1,1,23.0,expected
312,443,3.0,0,1,1,22.0,handshake
1514,443,1.0,78,1,1,0.0,not_relevant
1514,443,1.0,1,1,1,0.0,not_relevant
