length,dstport,highest_layer,delta,ack_flag,microphone,content_type,class
77,4070,2.0,0,1,1,23.0,syn
288,443,3.0,0,1,1,0.0,expected
439,443,3.0,0,1,1,0.0,expected
1291,443,3.0,0,1,1,23.0,expected
891,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1514,443,1.0,-287016462,1,1,23.0,not_relevant
1514,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,0.0,expected
1514,443,3.0,0,1,1,0.0,expected
1514,443,3.0,0,1,1,23.0,expected
1077,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,22.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,20.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,21.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
99,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
54,443,1.0,8,1,1,23.0,ack
491,443,3.0,0,1,1,23.0,expected
91,443,3.0,0,1,1,23.0,expected
91,443,3.0,0,1,1,23.0,expected
488,443,3.0,0,1,1,23.0,expected
178,443,3.0,0,1,1,23.0,expected
77,4070,2.0,0,1,1,23.0,syn
285,443,3.0,0,1,1,23.0,expected
440,443,3.0,0,1,1,23.0,expected
231,443,3.0,0,1,1,23.0,expected
1291,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
54,443,1.0,29802,1,1,23.0,ack
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1484,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,22.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,20.0,expected
491,443,3.0,0,1,1,21.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
54,443,1.0,109,1,1,0.0,ack
491,443,3.0,0,1,1,20.0,expected
99,443,3.0,0,1,1,0.0,expected
99,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
91,443,3.0,0,1,1,0.0,expected
91,443,3.0,0,1,1,0.0,expected
54,443,1.0,104,1,1,23.0,ack
492,443,3.0,0,1,1,0.0,expected
177,443,3.0,0,1,1,0.0,expected
77,4070,2.0,0,1,1,0.0,syn
286,443,3.0,0,1,1,0.0,expected
437,443,3.0,0,1,1,0.0,expected
631,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,21.0,expected
1365,443,3.0,0,1,1,0.0,expected
1514,443,3.0,0,1,1,0.0,expected
779,443,3.0,0,1,1,0.0,expected
1514,443,3.0,0,1,1,0.0,expected
1216,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,0.0,expected
1514,443,3.0,0,1,1,22.0,expected
1514,443,3.0,0,1,1,0.0,expected
481,443,3.0,0,1,1,20.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,21.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,22.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,20.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,21.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,23.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
99,443,3.0,0,1,1,0.0,expected
491,443,3.0,0,1,1,0.0,expected
91,443,3.0,0,1,1,0.0,expected
91,443,3.0,0,1,1,0.0,expected
494,443,3.0,0,1,1,0.0,expected
179,443,3.0,0,1,1,0.0,expected
287,443,3.0,0,1,1,0.0,expected
439,443,3.0,0,1,1,0.0,expected
1291,443,3.0,0,1,1,0.0,expected
