length,dstport,highest_layer,delta,ack_flag,microphone,content_type,class
100,443,3.0,0,1,1,23.0,syn
287,443,3.0,0,1,1,23.0,expected
1514,443,3.0,0,1,1,23.0,expected
1514,443,1.0,3652417706,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
860,443,3.0,0,1,1,23.0,expected
132,443,3.0,0,1,1,23.0,expected
180,443,3.0,0,1,1,23.0,expected
136,443,3.0,0,1,1,23.0,expected
288,443,3.0,0,1,1,23.0,expected
74,443,1.0,3652665517,0,1,0.0,retransmit
1514,443,3.0,0,1,1,23.0,expected
1514,443,1.0,65,1,1,0.0,not_relevant
1514,443,1.0,17,1,1,0.0,not_relevant
937,443,3.0,0,1,1,23.0,expected
312,443,3.0,0,1,1,22.0,handshake
1514,443,1.0,43,1,1,0.0,not_relevant
1514,443,1.0,1,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
92,443,3.0,0,1,1,23.0,expected
105,443,3.0,0,1,1,20.0,handshake
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
184,443,3.0,0,1,1,23.0,expected
184,443,3.0,0,1,1,23.0,expected
768,443,3.0,0,1,1,23.0,expected
184,443,3.0,0,1,1,23.0,expected
184,443,3.0,0,1,1,23.0,expected
184,443,3.0,0,1,1,23.0,expected
85,443,3.0,0,1,1,21.0,handshake
184,443,3.0,0,1,1,23.0,expected
184,443,3.0,0,1,1,23.0,expected
184,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
286,443,3.0,0,1,1,23.0,expected
190,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
1514,443,1.0,166,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
427,443,3.0,0,1,1,23.0,expected
136,443,3.0,0,1,1,23.0,expected
92,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
172,443,3.0,0,1,1,23.0,expected
136,443,3.0,0,1,1,23.0,expected
92,443,3.0,0,1,1,23.0,expected
74,443,1.0,3652666109,0,1,0.0,retransmit
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
807,443,3.0,0,1,1,23.0,expected
85,443,3.0,0,1,1,21.0,handshake
288,443,3.0,0,1,1,23.0,expected
190,443,3.0,0,1,1,23.0,expected
1514,443,1.0,534,1,1,0.0,not_relevant
1514,443,1.0,0,1,1,0.0,not_relevant
423,443,3.0,0,1,1,23.0,expected
136,443,3.0,0,1,1,23.0,expected
92,443,3.0,0,1,1,23.0,expected
74,443,1.0,3652665860,0,1,0.0,retransmit
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
782,443,3.0,0,1,1,23.0,expected
54,443,1.0,0,1,1,0.0,ack
54,443,1.0,3,1,1,0.0,ack
85,443,3.0,0,1,1,21.0,handshake
74,443,1.0,3652666011,0,1,0.0,retransmit
96,443,3.0,0,1,1,23.0,expected
312,443,3.0,0,1,1,22.0,handshake
105,443,3.0,0,1,1,20.0,handshake
