date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-25 11:44:18.625458,66,104.154.127.140,443,1.0,258575675,1,1,,1,ack
2018-10-25 11:44:23.071313,66,104.154.127.140,443,1.0,4445,1,1,,1,ack
2018-10-25 11:44:27.421163,95,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.473559,54,52.46.156.66,443,1.0,258466272,1,1,,1,ack
2018-10-25 11:44:27.614249,284,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.614623,387,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.614635,1291,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.615540,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.616044,891,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.616705,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.618267,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.621347,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.625412,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.637253,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.638462,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.639445,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.640508,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.641226,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.642317,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.666052,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.668256,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.668272,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.668283,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.668309,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.715988,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.716456,918,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.716471,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.716482,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.716493,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.717977,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.717991,891,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.718004,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.745351,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.780125,54,52.46.156.66,443,1.0,306,1,1,,1,ack
2018-10-25 11:44:27.795273,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.860581,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.898571,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:27.969858,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.006433,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.036633,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.100248,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.136445,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.197092,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.251596,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.296270,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.338017,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.418163,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.434150,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.499977,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.541459,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.592359,54,52.46.156.66,443,1.0,812,1,1,,1,ack
2018-10-25 11:44:28.601795,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.670291,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.745893,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.746152,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.802777,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.860080,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.900226,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.936653,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:28.997147,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.041244,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.100667,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.136797,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.206703,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.237237,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.300762,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.337032,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.412609,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.471630,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.502584,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.540919,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.605111,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.634670,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.718590,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.747905,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.798795,54,52.46.156.66,443,1.0,1206,1,1,,1,ack
2018-10-25 11:44:29.802886,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.853851,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.896833,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:29.956384,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.010017,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.069437,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.104333,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.147090,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.220245,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.246210,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.303079,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.305921,54,52.46.156.66,443,1.0,507,1,1,,1,ack
2018-10-25 11:44:30.306066,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.307411,54,52.46.156.66,443,1.0,1,1,1,,1,ack
2018-10-25 11:44:30.339542,54,52.46.156.66,443,1.0,32,1,1,,1,ack
2018-10-25 11:44:30.339688,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.339774,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.339854,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.339939,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.346299,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.361890,54,52.46.156.66,443,1.0,21,1,1,,1,ack
2018-10-25 11:44:30.378110,54,52.46.156.66,443,1.0,16,1,1,,1,ack
2018-10-25 11:44:30.378265,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.378345,99,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.379565,54,52.46.156.66,443,1.0,1,1,1,,1,ack
2018-10-25 11:44:30.379642,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.380627,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.380891,99,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.382391,54,52.46.156.66,443,1.0,1,1,1,,1,ack
2018-10-25 11:44:30.397791,54,52.46.156.66,443,1.0,15,1,1,,1,ack
2018-10-25 11:44:30.398331,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.399368,54,52.46.156.66,443,1.0,1,1,1,,1,ack
2018-10-25 11:44:30.400971,54,52.46.156.66,443,1.0,1,1,1,,1,ack
2018-10-25 11:44:30.401908,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.402132,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.402846,99,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.405326,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.438950,54,52.46.156.66,443,1.0,36,1,1,,1,ack
2018-10-25 11:44:30.439029,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.439171,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.439306,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.439443,99,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.439517,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.439588,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.439657,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-25 11:44:30.441057,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.539412,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.539689,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.605412,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.641320,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.663449,91,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.663694,91,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.696960,395,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:30.776876,54,52.46.156.66,443,1.0,337,1,1,,1,ack
2018-10-25 11:44:30.834985,54,52.46.156.66,443,1.0,58,1,1,,1,ack
2018-10-25 11:44:42.305274,177,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:44:53.071763,66,104.154.127.140,443,1.0,30000,1,1,,1,ack
2018-10-25 11:45:04.555708,286,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.569741,387,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.582957,231,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.584789,1291,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.598725,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.599412,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.617687,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.619204,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.619232,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.626689,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.635918,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.637872,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.646742,891,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.651811,891,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.676984,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.678540,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.705901,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:45:04.706735,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
