date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 07:26:56.077159,283,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.111547,350,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.117089,1031,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.117118,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.117529,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.133738,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.135385,54,52.46.136.99,443,1.0,2650780,1,1,,1,ack
2018-10-23 07:26:56.137008,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.137037,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.149769,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.160537,1431,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.166389,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.168323,1031,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.170211,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.189534,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.190717,1505,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.218146,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.227260,74,52.85.113.84,80,1.0,2521431,0,1,,1,retransmit
2018-10-23 07:26:56.238634,66,52.85.113.84,80,1.0,11,1,1,,1,ack
2018-10-23 07:26:56.242061,150,52.85.113.84,80,3.0,0,1,1,,1,not_relevant
2018-10-23 07:26:56.243809,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.272527,66,52.85.113.84,80,1.0,33,1,1,,1,ack
2018-10-23 07:26:56.272786,66,52.85.113.84,80,1.0,0,1,1,,1,ack
2018-10-23 07:26:56.277248,54,52.216.130.171,80,1.0,2528720,1,1,,1,ack
2018-10-23 07:26:56.281334,74,52.216.85.51,80,1.0,263471309,0,1,,1,retransmit
2018-10-23 07:26:56.284229,66,52.85.113.84,80,1.0,11,1,1,,1,ack
2018-10-23 07:26:56.300369,54,52.216.85.51,80,1.0,19,1,1,,1,ack
2018-10-23 07:26:56.300849,200,52.216.85.51,80,3.0,0,1,1,,1,not_relevant
2018-10-23 07:26:56.303285,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.323163,54,52.216.85.51,80,1.0,22,1,1,,1,ack
2018-10-23 07:26:56.323485,54,52.216.85.51,80,1.0,0,1,1,,1,ack
2018-10-23 07:26:56.349710,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.398906,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.438004,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.496629,54,52.216.130.171,80,1.0,219,1,1,,1,ack
2018-10-23 07:26:56.506809,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.545910,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.591915,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.646065,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.707237,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.709978,54,52.216.130.171,80,1.0,213,1,1,,1,ack
2018-10-23 07:26:56.745274,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.804785,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.840961,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.907229,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.946004,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:56.993549,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.040849,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.104719,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.143325,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.150067,54,52.216.130.171,80,1.0,440,1,1,,1,ack
2018-10-23 07:26:57.206613,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.236056,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.307353,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.347150,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.394615,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.447051,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.507087,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.536410,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.607096,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.631167,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.708627,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.745265,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.810125,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.840108,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.910970,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:57.936586,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.000844,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.030043,54,52.216.130.171,80,1.0,879,1,1,,1,ack
2018-10-23 07:26:58.032071,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.104805,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.144265,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.196161,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.242759,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.308922,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.335379,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.406752,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.430724,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.493145,54,52.46.136.99,443,1.0,2357,1,1,,1,ack
2018-10-23 07:26:58.504488,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.546258,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.593422,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.641717,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.645371,54,52.46.136.99,443,1.0,152,1,1,,1,ack
2018-10-23 07:26:58.706699,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.745494,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.754562,54,52.46.136.99,443,1.0,109,1,1,,1,ack
2018-10-23 07:26:58.763749,54,52.46.136.99,443,1.0,9,1,1,,1,ack
2018-10-23 07:26:58.808214,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.836467,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.908237,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.948870,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:58.988961,54,52.46.136.99,443,1.0,225,1,1,,1,ack
2018-10-23 07:26:58.990830,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-23 07:26:58.992656,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-23 07:26:58.992732,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 07:26:59.010223,54,52.46.136.99,443,1.0,17,1,1,,1,ack
2018-10-23 07:26:59.011481,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:59.022462,54,52.46.136.99,443,1.0,12,1,1,,1,ack
2018-10-23 07:26:59.023410,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 07:26:59.025675,54,52.46.136.99,443,1.0,2,1,1,,1,ack
2018-10-23 07:26:59.029075,54,52.46.136.99,443,1.0,3,1,1,,1,ack
2018-10-23 07:26:59.029407,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 07:26:59.041849,54,52.46.136.99,443,1.0,12,1,1,,1,ack
2018-10-23 07:26:59.042343,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 07:26:59.043535,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:59.044668,54,52.46.136.99,443,1.0,2,1,1,,1,ack
2018-10-23 07:26:59.045242,99,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:59.083154,54,52.46.136.99,443,1.0,38,1,1,,1,ack
2018-10-23 07:26:59.127868,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:59.147357,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:59.147762,91,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:59.164734,91,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:59.182270,433,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:26:59.310795,54,52.46.136.99,443,1.0,227,1,1,,1,ack
2018-10-23 07:26:59.343337,54,52.46.136.99,443,1.0,32,1,1,,1,ack
2018-10-23 07:26:59.793847,54,52.216.130.171,80,1.0,1763,1,1,,1,ack
2018-10-23 07:27:03.320454,54,52.216.130.171,80,1.0,3526,1,1,,1,ack
2018-10-23 07:27:03.610548,176,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:06.518863,74,72.21.214.79,80,1.0,-18239865,0,1,,1,retransmit
2018-10-23 07:27:06.537175,54,72.21.214.79,80,1.0,18,1,1,,1,ack
2018-10-23 07:27:06.537630,211,72.21.214.79,80,3.0,0,1,1,,1,not_relevant
2018-10-23 07:27:06.630719,54,72.21.214.79,80,1.0,93,1,1,,1,ack
2018-10-23 07:27:06.648882,77,104.154.127.233,4070,2.0,0,1,1,,1,syn
2018-10-23 07:27:06.674623,66,104.154.127.233,4070,1.0,-18269211,1,1,,1,ack
2018-10-23 07:27:10.374767,54,52.216.130.171,80,1.0,7054,1,1,,1,ack
2018-10-23 07:27:15.238829,285,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.271893,347,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.283760,231,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.303852,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.304469,1514,52.46.136.99,443,1.0,15961,1,1,,1,not_relevant
2018-10-23 07:27:15.310276,371,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.331682,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.335021,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.336354,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.337519,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.338154,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.339145,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.349690,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.353043,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.354595,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.355290,110,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.359066,631,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.364470,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.399268,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.399593,668,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.401008,54,52.46.136.99,443,1.0,96,1,1,,1,ack
2018-10-23 07:27:15.430110,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.510126,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.522869,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.586451,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.624665,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.677963,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.738103,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.785562,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.826015,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.889943,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.921001,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:15.985304,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.024038,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.096966,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.126428,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.187423,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.223477,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.290779,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.317931,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.388789,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.424686,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.479756,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.527982,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.577621,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.624411,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.690793,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.722837,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.798635,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.831150,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:27:16.880156,54,52.46.136.99,443,1.0,1479,1,1,,1,ack
