date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 08:02:27.590175,54,52.216.162.219,80,1.0,3623397,1,1,,1,ack
2018-10-23 08:02:39.090467,77,104.154.127.233,4070,2.0,0,1,1,,1,syn
2018-10-23 08:02:39.109657,66,104.154.127.233,4070,1.0,3634915,1,1,,1,ack
2018-10-23 08:02:39.479553,287,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.480032,783,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.515676,1067,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.556428,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.558393,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.574895,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.584834,1078,52.46.156.66,443,1.0,3515325,1,1,,1,not_relevant
2018-10-23 08:02:39.584879,1078,52.46.156.66,443,1.0,0,1,1,,1,not_relevant
2018-10-23 08:02:39.584904,1078,52.46.156.66,443,1.0,0,1,1,,1,not_relevant
2018-10-23 08:02:39.584994,91,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.586500,1078,52.46.156.66,443,1.0,1,1,1,,1,not_relevant
2018-10-23 08:02:39.595196,1078,52.46.156.66,443,1.0,8,1,1,,1,not_relevant
2018-10-23 08:02:39.613798,1078,52.46.156.66,443,1.0,18,1,1,,1,not_relevant
2018-10-23 08:02:39.617381,54,52.46.156.66,443,1.0,3,1,1,,1,ack
2018-10-23 08:02:39.618549,1078,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.618573,1078,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.618585,1078,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.618596,1078,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.618628,1078,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.618641,1078,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.637917,1078,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 08:02:39.639368,560,52.46.156.66,443,3.0,0,1,1,23,1,expected
