date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 05:46:34.327168,66,104.154.127.184,443,1.0,-20447550,1,1,,1,ack
2018-10-22 05:46:35.561565,284,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.574962,944,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.628617,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.645666,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.647090,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.709550,54,52.94.240.174,443,1.0,-20680527,1,1,,1,ack
2018-10-22 05:46:35.748282,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.754419,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.776543,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.778444,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.778472,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.778494,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.778527,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.794469,1514,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.795884,1514,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.796573,1514,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.796936,918,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.801696,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.802304,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.813769,1514,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.814918,1514,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.816477,1514,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.816507,481,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.855934,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.883778,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:35.949689,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.009281,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.047497,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.099336,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.161627,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.187303,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.260136,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.282863,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.327741,54,52.94.240.174,443,1.0,618,1,1,,1,ack
2018-10-22 05:46:36.355868,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.398559,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.446415,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.493451,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.557084,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.589020,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.654168,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.709305,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.745839,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.801522,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.846519,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.893626,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:36.957499,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.000765,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.058519,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.084761,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.167988,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.197385,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.245801,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.297477,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.361440,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.406015,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.456515,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.488175,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.552104,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.608283,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.689792,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.694530,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.778504,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.826486,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.852546,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.901434,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.967638,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:37.980561,54,52.94.240.174,443,1.0,1652,1,1,,1,ack
2018-10-22 05:46:37.998284,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.067672,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.148263,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.159108,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.237053,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.293716,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.293989,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.294006,54,52.94.240.174,443,1.0,313,1,1,,1,ack
2018-10-22 05:46:38.294078,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:38.294860,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:38.295690,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:38.312126,54,52.94.240.174,443,1.0,16,1,1,,1,ack
2018-10-22 05:46:38.313287,54,52.94.240.174,443,1.0,1,1,1,,1,ack
2018-10-22 05:46:38.314768,54,52.94.240.174,443,1.0,1,1,1,,1,ack
2018-10-22 05:46:38.316770,54,52.94.240.174,443,1.0,2,1,1,,1,ack
2018-10-22 05:46:38.316848,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:38.324785,99,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.330489,54,52.94.240.174,443,1.0,13,1,1,,1,ack
2018-10-22 05:46:38.331464,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:38.333785,54,52.94.240.174,443,1.0,2,1,1,,1,ack
2018-10-22 05:46:38.334899,54,52.94.240.174,443,1.0,1,1,1,,1,ack
2018-10-22 05:46:38.337149,54,52.94.240.174,443,1.0,2,1,1,,1,ack
2018-10-22 05:46:38.342632,54,52.94.240.174,443,1.0,5,1,1,,1,ack
2018-10-22 05:46:38.349011,54,52.94.240.174,443,1.0,6,1,1,,1,ack
2018-10-22 05:46:38.350286,54,52.94.240.174,443,1.0,1,1,1,,1,ack
2018-10-22 05:46:38.353734,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.354001,54,52.94.240.174,443,1.0,3,1,1,,1,ack
2018-10-22 05:46:38.354080,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:38.354156,99,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.413112,54,52.94.240.174,443,1.0,59,1,1,,1,ack
2018-10-22 05:46:38.420186,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.453182,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.493831,91,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.493983,91,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.565142,301,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:38.644275,54,52.94.240.174,443,1.0,231,1,1,,1,ack
2018-10-22 05:46:38.665781,54,52.94.240.174,443,1.0,21,1,1,,1,ack
2018-10-22 05:46:47.209251,176,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.858263,284,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.929048,940,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.937972,1291,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.938577,1291,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.938610,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.949631,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.953651,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.985149,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.986526,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.995592,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.997326,631,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:55.997347,891,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.003013,1514,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.004658,1514,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.015091,1504,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.056376,668,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.059667,54,52.94.240.174,443,1.0,17393,1,1,,1,ack
2018-10-22 05:46:56.088244,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.129850,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.174469,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.237010,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.268645,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.334418,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.367146,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.429049,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.476696,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.523986,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.558464,54,52.94.240.174,443,1.0,498,1,1,,1,ack
2018-10-22 05:46:56.570859,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.646422,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.666789,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.739933,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.764161,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.830410,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.874324,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.926177,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:56.977334,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.038260,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.070156,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.132364,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.166719,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.235847,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.276953,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.322278,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.370711,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.441713,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.485661,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.535869,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.566989,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.630641,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.674235,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.721933,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.769559,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.842045,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.872736,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.937173,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:57.961535,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.031255,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.091352,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.111296,54,52.94.240.174,443,1.0,1552,1,1,,1,ack
2018-10-22 05:46:58.145938,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.177128,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.247274,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.268440,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.337642,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.341277,54,52.94.240.174,443,1.0,229,1,1,,1,ack
2018-10-22 05:46:58.341403,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:58.341483,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:58.363721,54,52.94.240.174,443,1.0,22,1,1,,1,ack
2018-10-22 05:46:58.363864,99,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.375390,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.409720,54,52.94.240.174,443,1.0,45,1,1,,1,ack
2018-10-22 05:46:58.410573,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:58.411352,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:58.414010,54,52.94.240.174,443,1.0,2,1,1,,1,ack
2018-10-22 05:46:58.414143,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:58.428357,54,52.94.240.174,443,1.0,14,1,1,,1,ack
2018-10-22 05:46:58.429172,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:58.431298,54,52.94.240.174,443,1.0,2,1,1,,1,ack
2018-10-22 05:46:58.431371,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:58.432774,54,52.94.240.174,443,1.0,1,1,1,,1,ack
2018-10-22 05:46:58.433611,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:58.434608,99,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.434682,99,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.436835,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.447370,54,52.94.240.174,443,1.0,13,1,1,,1,ack
2018-10-22 05:46:58.448384,54,52.94.240.174,443,1.0,1,1,1,,1,ack
2018-10-22 05:46:58.453054,54,52.94.240.174,443,1.0,4,1,1,,1,ack
2018-10-22 05:46:58.454116,54,52.94.240.174,443,1.0,1,1,1,,1,ack
2018-10-22 05:46:58.455044,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:46:58.456526,54,52.94.240.174,443,1.0,1,1,1,,1,ack
2018-10-22 05:46:58.478174,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.530134,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.573232,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.584690,91,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.584773,91,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.648990,302,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:46:58.919166,54,52.94.240.174,443,1.0,462,1,1,,1,ack
2018-10-22 05:46:58.919744,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:47:05.352222,66,104.154.127.184,443,1.0,31025,1,1,,1,ack
2018-10-22 05:47:07.152855,175,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.065084,288,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.101386,969,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.130521,1514,52.94.240.174,443,1.0,23210,1,1,,1,not_relevant
2018-10-22 05:47:22.130555,1267,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.136218,535,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.170240,1514,52.94.240.174,443,1.0,39,1,1,,1,not_relevant
2018-10-22 05:47:22.170273,1267,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.170318,1514,52.94.240.174,443,1.0,0,1,1,,1,not_relevant
2018-10-22 05:47:22.170340,275,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.219818,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.257944,54,52.94.240.174,443,1.0,87,1,1,,1,ack
2018-10-22 05:47:22.269242,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.317820,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.366727,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.431384,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.461260,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.525842,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.557907,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.623977,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.670218,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.715123,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.761504,54,52.94.240.174,443,1.0,503,1,1,,1,ack
2018-10-22 05:47:22.763545,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.836531,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.861045,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.930448,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:22.958371,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:23.024752,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:23.068839,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:47:23.116342,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
