date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-22 05:56:28.779114,285,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.803211,1036,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.805393,1291,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.806164,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.806538,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.807403,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.807967,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.822632,928,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.846725,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.851247,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.852661,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.854328,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.855747,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.855779,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.856434,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.869611,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.883055,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.884193,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.884223,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.923871,1291,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.924213,1291,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.926734,1291,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.929803,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.932892,891,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.936923,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.966746,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:28.981193,54,52.94.240.174,443,1.0,-111842806,1,1,,1,ack
2018-10-22 05:56:28.997504,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.038569,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.090004,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.158419,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.182616,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.252549,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.283280,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.346627,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.391728,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.440708,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.489039,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.552908,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.584251,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.653370,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.690708,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.755537,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.795690,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.846285,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.890785,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.956053,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:29.999917,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.047996,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.081949,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.144838,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.189794,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.246023,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.290492,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.354092,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.387297,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.449616,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.479791,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.545527,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.600938,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.638596,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.691247,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.755716,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.786083,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.852238,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.881952,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:30.951300,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.021596,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.043835,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.092119,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.158852,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.182861,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.184969,205,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.254706,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.283977,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.344075,54,52.94.240.174,443,1.0,2362,1,1,,1,ack
2018-10-22 05:56:31.348289,54,52.94.240.174,443,1.0,4,1,1,,1,ack
2018-10-22 05:56:31.348474,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.382529,54,52.94.240.174,443,1.0,34,1,1,,1,ack
2018-10-22 05:56:31.396728,54,52.94.240.174,443,1.0,14,1,1,,1,ack
2018-10-22 05:56:31.396991,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.397075,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.398238,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.398511,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.398530,54,52.94.240.174,443,1.0,1,1,1,,1,ack
2018-10-22 05:56:31.399953,54,52.94.240.174,443,1.0,1,1,1,,1,ack
2018-10-22 05:56:31.400188,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.402662,99,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.416337,54,52.94.240.174,443,1.0,16,1,1,,1,ack
2018-10-22 05:56:31.416549,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.425388,54,52.94.240.174,443,1.0,8,1,1,,1,ack
2018-10-22 05:56:31.425655,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.425744,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.438222,54,52.94.240.174,443,1.0,12,1,1,,1,ack
2018-10-22 05:56:31.438364,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.473001,99,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.473252,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.473277,54,52.94.240.174,443,1.0,34,1,1,,1,ack
2018-10-22 05:56:31.473468,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.473562,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.473655,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.504113,99,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.504424,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.504439,54,52.94.240.174,443,1.0,30,1,1,,1,ack
2018-10-22 05:56:31.504520,54,52.94.240.174,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:31.509036,54,52.94.240.174,443,1.0,4,1,1,,1,ack
2018-10-22 05:56:31.523458,91,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.523562,91,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.532048,370,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:31.721715,54,52.94.240.174,443,1.0,212,1,1,,1,ack
2018-10-22 05:56:33.068077,66,104.154.127.184,443,1.0,-111859707,1,1,,1,ack
2018-10-22 05:56:34.983069,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:41.290225,403,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:47.661881,107,52.94.229.215,443,3.0,0,1,1,21,1,handshake
2018-10-22 05:56:47.662068,54,52.94.229.215,443,1.0,-90629741,1,1,,1,ack
2018-10-22 05:56:47.710809,74,52.94.227.120,443,1.0,-90769006,0,1,,1,retransmit
2018-10-22 05:56:47.733094,54,52.94.227.120,443,1.0,22,1,1,,1,ack
2018-10-22 05:56:47.734781,571,52.94.227.120,443,3.0,0,1,1,22,1,handshake
2018-10-22 05:56:47.755638,54,52.94.227.120,443,1.0,22,1,1,,1,ack
2018-10-22 05:56:47.755913,54,52.94.227.120,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:47.756045,54,52.94.227.120,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:47.756655,54,52.94.227.120,443,1.0,0,1,1,,1,ack
2018-10-22 05:56:47.821994,204,52.94.227.120,443,3.0,0,1,1,22,1,handshake
2018-10-22 05:56:47.840122,54,52.94.227.120,443,1.0,83,1,1,,1,ack
2018-10-22 05:56:47.843091,695,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:47.843120,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:47.844225,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:47.844259,1514,52.94.227.120,443,1.0,4,1,1,,1,not_relevant
2018-10-22 05:56:47.844282,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:47.844338,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:47.846033,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-22 05:56:47.846066,1514,52.94.227.120,443,1.0,1,1,1,,1,not_relevant
