date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-22 06:02:29.308447,95,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:29.378448,54,52.94.240.174,443,1.0,-106396849,1,1,,1,ack
2018-10-22 06:02:32.595089,292,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.613927,968,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.622769,1431,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.657733,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.658596,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.659552,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.662332,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.663323,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.665210,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.668765,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.676158,928,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.681363,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.698268,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.703698,1514,52.94.240.174,443,1.0,3325,1,1,,1,not_relevant
2018-10-22 06:02:32.703759,1267,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.727092,795,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.727701,1431,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.744240,54,52.94.240.174,443,1.0,40,1,1,,1,ack
2018-10-22 06:02:32.773906,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.821790,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.886171,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.931625,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:32.977992,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.012214,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.077008,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.125750,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.172808,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.217468,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.290326,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.318809,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.382838,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.419408,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.484829,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.540748,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.571350,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.629587,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.680581,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 06:02:33.719567,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
