date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 07:47:53.922586,66,104.154.127.233,4070,1.0,92593239,1,1,,1,ack
2018-10-23 07:47:56.176012,77,104.154.127.233,4070,2.0,0,1,1,,1,syn
2018-10-23 07:47:56.194648,66,104.154.127.233,4070,1.0,2272,1,1,,1,ack
2018-10-23 07:47:56.344973,54,52.216.110.91,80,1.0,-13679961,1,1,,1,ack
2018-10-23 07:48:02.988499,286,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.057611,342,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.087256,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.088321,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.088356,1514,52.46.156.66,443,1.0,-703022,1,1,,1,not_relevant
2018-10-23 07:48:03.088382,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.108262,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.109176,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.109206,1514,52.46.156.66,443,1.0,20,1,1,,1,not_relevant
2018-10-23 07:48:03.109229,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.110556,1514,52.46.156.66,443,1.0,1,1,1,,1,not_relevant
2018-10-23 07:48:03.127770,1514,52.46.156.66,443,1.0,17,1,1,,1,not_relevant
2018-10-23 07:48:03.128377,150,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.131644,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.166853,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.191637,54,52.46.156.66,443,1.0,63,1,1,,1,ack
2018-10-23 07:48:03.207767,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.265508,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.317876,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.353911,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.425558,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.452564,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.535852,54,52.46.156.66,443,1.0,344,1,1,,1,ack
2018-10-23 07:48:03.536237,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.552657,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.618868,491,52.46.156.66,443,1.0,83,1,1,,1,not_relevant
2018-10-23 07:48:03.619092,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.663126,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.704409,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.753434,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.825206,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.850686,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.917016,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:03.952747,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.016393,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.061909,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.109631,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.160706,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.235723,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.251832,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.316066,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.346690,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.422972,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.462030,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.504059,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.554856,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.628481,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.654443,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.718013,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.747328,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.813657,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.864894,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.936212,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:04.955771,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:05.026157,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:05.049668,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:05.120382,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:05.146404,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:05.215976,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:05.262123,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:05.305909,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:05.356810,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:05.376012,54,52.46.156.66,443,1.0,1757,1,1,,1,ack
2018-10-23 07:48:05.425685,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:48:05.448576,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
