date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 11:03:10.419959,95,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:10.440371,54,52.46.136.99,443,1.0,104879978,1,1,,1,ack
2018-10-23 11:03:14.379922,77,104.154.126.169,4070,2.0,0,1,1,,1,syn
2018-10-23 11:03:14.399050,66,104.154.126.169,4070,1.0,104892718,1,1,,1,ack
2018-10-23 11:03:18.312115,287,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.314363,944,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.455043,231,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.455389,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.456140,1514,52.46.136.99,443,1.0,8015,1,1,,1,not_relevant
2018-10-23 11:03:18.456163,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.457358,548,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.457388,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.457411,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.457659,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.457690,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-23 11:03:18.474083,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.474880,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.479033,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.479063,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.479086,1514,52.46.136.99,443,1.0,21,1,1,,1,not_relevant
2018-10-23 11:03:18.510042,1449,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.582281,928,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.597214,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.660214,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.751413,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.766956,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.804812,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.896974,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.905028,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.949046,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:18.999472,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:19.045535,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:19.112391,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:19.143810,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:19.208372,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:19.240721,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:03:19.313582,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
