date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-22 11:54:12.150199,107,54.239.25.214,443,3.0,0,1,1,21,1,handshake
2018-10-22 11:54:13.393146,285,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.440118,365,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.472478,1031,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.478894,1365,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.481376,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.485834,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.486259,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.486573,779,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.494772,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.495077,928,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.527243,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.528523,1216,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.532396,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.533146,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.536782,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.537643,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.538570,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.546219,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.547024,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.550836,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.551563,342,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.561220,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.624811,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.672203,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.718351,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.767893,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.839963,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.875517,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.923254,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:13.957749,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.028021,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.070346,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.114909,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.175562,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.234751,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.266659,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.330079,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.361086,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.427423,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.471005,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.531427,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.585955,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.629910,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.664119,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.729120,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.758257,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.821857,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.866367,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.923120,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:14.966993,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.029871,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.061352,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.125265,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.164988,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.222241,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.278979,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.348957,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.365937,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.429976,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.463416,54,52.46.136.77,443,1.0,-87364976,1,1,,1,ack
2018-10-22 11:54:15.468991,54,52.46.136.77,443,1.0,5,1,1,,1,ack
2018-10-22 11:54:15.469279,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 11:54:15.505372,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.530009,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:54:15.535106,54,52.46.136.77,443,1.0,65,1,1,,1,ack
2018-10-22 11:54:15.543906,99,52.46.136.77,443,3.0,0,1,1,23,1,expected
