date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 07:52:09.969474,95,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:10.034809,54,52.46.156.66,443,1.0,-211899524,1,1,,1,ack
2018-10-23 07:52:11.693763,54,52.216.85.3,80,1.0,-211997358,1,1,,1,ack
2018-10-23 07:52:14.904765,286,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:14.954775,341,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:14.954843,1514,52.46.156.66,443,1.0,4920,1,1,,1,not_relevant
2018-10-23 07:52:14.954866,371,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:14.984452,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:14.992348,1291,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:14.992968,1031,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:14.998689,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.000311,1431,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.000333,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.006068,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.012039,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.012470,1291,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.037244,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.037485,1291,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.039105,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.040661,1468,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.070070,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.075858,54,52.46.156.66,443,1.0,121,1,1,,1,ack
2018-10-23 07:52:15.089203,54,52.46.156.66,443,1.0,13,1,1,,1,ack
2018-10-23 07:52:15.133841,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.167491,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.228986,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.265769,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:52:15.327387,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
