date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-25 11:47:57.697313,95,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:47:57.716355,54,52.46.156.66,443,1.0,186807385,1,1,,1,ack
2018-10-25 11:48:06.624863,290,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.795107,394,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.795995,231,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.797306,1514,52.46.156.66,443,1.0,9080,1,1,,1,not_relevant
2018-10-25 11:48:06.797342,1267,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.797389,1514,52.46.156.66,443,1.0,0,1,1,,1,not_relevant
2018-10-25 11:48:06.797413,675,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.814487,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.814998,1505,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.845513,1514,52.46.156.66,443,1.0,48,1,1,,1,not_relevant
2018-10-25 11:48:06.845548,1267,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.897737,795,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.941735,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.982022,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:06.988452,54,52.46.156.66,443,1.0,142,1,1,,1,ack
2018-10-25 11:48:07.045651,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.078104,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.147236,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.187068,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.241586,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.290486,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.342364,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.390561,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.449745,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.502424,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.553691,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.586802,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.642305,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.686166,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.744955,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.801805,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.867959,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-25 11:48:07.875020,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
