date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 06:58:47.371145,77,104.154.126.114,4070,2.0,0,1,1,,1,syn
2018-10-22 06:58:47.389704,66,104.154.126.114,4070,1.0,-100297178,1,1,,1,ack
2018-10-22 06:58:53.127691,74,13.249.94.107,80,1.0,-100305054,0,1,,1,retransmit
2018-10-22 06:58:53.136695,66,13.249.94.107,80,1.0,9,1,1,,1,ack
2018-10-22 06:58:53.139433,150,13.249.94.107,80,3.0,0,1,1,,1,not_relevant
2018-10-22 06:58:53.150498,66,13.249.94.107,80,1.0,13,1,1,,1,ack
2018-10-22 06:58:53.150750,66,13.249.94.107,80,1.0,0,1,1,,1,ack
2018-10-22 06:58:53.177282,66,13.249.94.107,80,1.0,26,1,1,,1,ack
2018-10-22 06:58:53.183349,54,52.216.170.187,80,1.0,-300212,1,1,,1,ack
2018-10-22 06:58:53.186902,66,13.249.94.107,80,1.0,9,1,1,,1,ack
2018-10-22 06:58:53.187768,74,52.216.137.132,80,1.0,-328395,0,1,,1,retransmit
2018-10-22 06:58:53.205588,54,52.216.137.132,80,1.0,17,1,1,,1,ack
2018-10-22 06:58:53.206176,200,52.216.137.132,80,3.0,0,1,1,,1,not_relevant
2018-10-22 06:58:53.229529,54,52.216.137.132,80,1.0,23,1,1,,1,ack
2018-10-22 06:58:53.230523,54,52.216.137.132,80,1.0,0,1,1,,1,ack
2018-10-22 06:58:53.400246,54,52.216.170.187,80,1.0,216,1,1,,1,ack
2018-10-22 06:58:53.621661,54,52.216.170.187,80,1.0,221,1,1,,1,ack
2018-10-22 06:58:53.725822,780,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.735661,631,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.736398,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.738499,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.747329,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.747904,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.749080,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.750948,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.764452,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.765366,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.772683,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.774126,260,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.784093,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.784737,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.808785,891,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.809065,891,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.816014,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.817017,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.817805,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.818909,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.819868,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.820875,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.830042,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.830937,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.845385,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.847247,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.847271,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.847304,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.847316,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.847333,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.869668,54,52.46.136.77,443,1.0,-322662,1,1,,1,ack
2018-10-22 06:58:53.887085,54,52.46.136.77,443,1.0,17,1,1,,1,ack
2018-10-22 06:58:53.892354,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:53.943927,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:54.008255,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:54.038363,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:54.056840,54,52.216.170.187,80,1.0,435,1,1,,1,ack
2018-10-22 06:58:54.109356,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:54.131771,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:54.202358,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:54.243733,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:54.290749,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:54.342739,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:54.408451,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 06:58:54.436941,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
