date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 07:02:04.151695,74,176.32.98.203,80,1.0,-17149553,0,1,,1,retransmit
2018-10-23 07:02:04.151777,74,176.32.98.203,80,1.0,-17114793,0,1,,1,retransmit
2018-10-23 07:02:04.169634,54,176.32.98.203,80,1.0,17,1,1,,1,ack
2018-10-23 07:02:04.169721,54,176.32.98.203,80,1.0,17,1,1,,1,ack
2018-10-23 07:02:04.171135,211,176.32.98.203,80,3.0,0,1,1,,1,not_relevant
2018-10-23 07:02:04.171149,189,176.32.98.203,80,3.0,0,1,1,,1,not_relevant
2018-10-23 07:02:04.192324,54,176.32.98.203,80,1.0,22,1,1,,1,ack
2018-10-23 07:02:04.193824,54,176.32.98.203,80,1.0,24,1,1,,1,ack
2018-10-23 07:02:04.226765,77,104.154.127.233,4070,2.0,0,1,1,,1,syn
2018-10-23 07:02:04.245833,66,104.154.127.233,4070,1.0,-17204437,1,1,,1,ack
2018-10-23 07:02:09.361806,54,52.216.232.83,80,1.0,-17207588,1,1,,1,ack
2018-10-23 07:02:17.148294,54,52.216.226.232,80,1.0,-17103798,1,1,,1,ack
2018-10-23 07:02:19.102751,285,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.118025,342,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.125461,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.130081,631,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.134818,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.142304,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.145316,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.147420,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.148980,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.150122,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.162857,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.164355,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.166005,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.167098,481,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.184276,1365,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.197400,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.198061,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.198093,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.199427,1504,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.206446,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.216393,54,52.46.136.99,443,1.0,-14742487,1,1,,1,ack
2018-10-23 07:02:19.241550,54,52.46.136.99,443,1.0,25,1,1,,1,ack
2018-10-23 07:02:19.279849,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.317893,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.362030,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:02:19.419899,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
