date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-25 19:06:35.739104,54,52.216.164.11,80,1.0,303950641,1,1,,1,ack
2018-10-25 19:06:37.506801,77,104.154.127.141,4070,2.0,0,1,1,,1,syn
2018-10-25 19:06:37.526101,66,104.154.127.141,4070,1.0,303841037,1,1,,1,ack
2018-10-25 19:06:41.464513,287,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.531096,942,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.549334,1514,52.46.132.49,443,1.0,290325636,1,1,,1,not_relevant
2018-10-25 19:06:41.549365,1171,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.555849,891,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.577950,1514,52.46.132.49,443,1.0,28,1,1,,1,not_relevant
2018-10-25 19:06:41.586351,1267,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.586798,1195,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.596168,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.597712,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.606285,631,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.632910,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.633531,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.634428,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.635053,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.636632,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.650921,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.651573,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.652341,193,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.666198,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.676064,54,52.46.132.49,443,1.0,98,1,1,,1,ack
2018-10-25 19:06:41.701916,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.743169,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.799944,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.863144,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.889982,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.953979,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:41.985808,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.051738,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.098356,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.148981,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.191741,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.263372,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.288012,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.359900,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.395565,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.455694,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.501231,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.549521,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.596299,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.659772,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.691143,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.758577,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.784591,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.856328,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.899974,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.947112,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:42.994419,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.058240,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.088551,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.160408,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.188030,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.256223,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.309333,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.348101,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.395504,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.459193,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.491543,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.557010,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.587328,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.659880,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.699339,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.749640,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.805842,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.867211,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.891043,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:43.999759,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.000012,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.062076,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.109874,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.147790,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.249085,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.266943,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.314792,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.447749,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.448161,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.452519,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.512942,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.548437,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.600388,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.661543,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.693559,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.756907,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.790183,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.866748,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.931885,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:44.948079,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:45.002609,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:45.047756,54,52.46.132.49,443,1.0,3371,1,1,,1,ack
2018-10-25 19:06:45.058386,54,52.46.132.49,443,1.0,10,1,1,,1,ack
2018-10-25 19:06:45.058832,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 19:06:45.061593,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:45.098237,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:45.112761,54,52.46.132.49,443,1.0,53,1,1,,1,ack
2018-10-25 19:06:45.113032,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 19:06:45.113171,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 19:06:45.113303,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 19:06:45.113425,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 19:06:45.113555,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 19:06:45.113676,54,52.46.132.49,443,1.0,0,1,1,,1,ack
2018-10-25 19:06:45.124179,99,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 19:06:45.132640,54,52.46.132.49,443,1.0,18,1,1,,1,ack
