date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 09:49:53.106537,77,104.154.126.114,4070,2.0,0,1,1,,1,syn
2018-10-22 09:49:53.125173,66,104.154.126.114,4070,1.0,-75142879,1,1,,1,ack
2018-10-22 09:50:00.700656,54,52.216.130.155,80,1.0,-77924254,1,1,,1,ack
2018-10-22 09:50:01.150908,285,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.183916,394,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.231697,1514,52.46.136.77,443,1.0,-77815052,1,1,,1,not_relevant
2018-10-22 09:50:01.231730,1267,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.231784,1514,52.46.136.77,443,1.0,0,1,1,,1,not_relevant
2018-10-22 09:50:01.231808,275,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.242637,891,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.252595,631,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.288659,1291,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.291324,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.292125,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.308483,631,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.308526,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.308552,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.365212,54,52.46.136.77,443,1.0,133,1,1,,1,ack
2018-10-22 09:50:01.365424,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.402187,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.470318,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.489345,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.550485,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.604226,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.641504,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.710418,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.732971,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.797888,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.841942,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.890470,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:01.949479,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.004545,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.065960,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.106513,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.134652,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.200207,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.246125,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.295605,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.349076,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.409485,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.434100,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.510453,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.531652,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.601471,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.646296,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.690193,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.759466,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.801566,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.836065,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.909513,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.932986,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:02.996311,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.041589,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.093520,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.146850,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.208671,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.239267,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.308075,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.333241,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.396931,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.457835,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.499726,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.546657,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.597075,54,52.46.136.77,443,1.0,2231,1,1,,1,ack
2018-10-22 09:50:03.627330,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.636704,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.711673,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.752910,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.830102,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.854480,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.927068,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.962359,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.962436,54,52.46.136.77,443,1.0,365,1,1,,1,ack
2018-10-22 09:50:03.962765,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.962931,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.963884,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.963962,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.965962,54,52.46.136.77,443,1.0,2,1,1,,1,ack
2018-10-22 09:50:03.966039,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.966606,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.966679,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.968262,54,52.46.136.77,443,1.0,1,1,1,,1,ack
2018-10-22 09:50:03.982898,54,52.46.136.77,443,1.0,14,1,1,,1,ack
2018-10-22 09:50:03.983859,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.984196,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.985430,54,52.46.136.77,443,1.0,1,1,1,,1,ack
2018-10-22 09:50:03.985615,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.987870,54,52.46.136.77,443,1.0,2,1,1,,1,ack
2018-10-22 09:50:03.988077,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.991722,99,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:03.991868,54,52.46.136.77,443,1.0,3,1,1,,1,ack
2018-10-22 09:50:03.991972,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:03.992095,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:04.033741,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:04.111443,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:04.113308,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:04.117976,91,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:04.118116,91,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:04.120395,54,52.46.136.77,443,1.0,128,1,1,,1,ack
2018-10-22 09:50:04.120672,66,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:04.203698,430,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:04.407210,54,52.46.136.77,443,1.0,286,1,1,,1,ack
2018-10-22 09:50:04.407427,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 09:50:10.127391,175,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:23.291089,77,104.154.126.114,4070,2.0,0,1,1,,1,syn
2018-10-22 09:50:23.309864,66,104.154.126.114,4070,1.0,30184,1,1,,1,ack
2018-10-22 09:50:27.770338,210,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.770367,261,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.788146,631,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.788176,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.788242,928,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.798281,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.799672,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.827519,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.827845,928,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.830450,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.832700,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.839805,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.844822,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.847359,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.849058,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.849972,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.851227,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.852125,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.853148,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.872555,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.874768,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.876253,1067,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.880293,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.881746,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.895525,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.895934,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.897330,342,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.905120,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.905523,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.905551,54,52.46.136.77,443,1.0,23498,1,1,,1,ack
2018-10-22 09:50:27.917457,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:27.977625,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.002353,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.066410,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.114293,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.166165,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.210526,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.282419,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.311305,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.374917,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.405814,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.469313,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.518493,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.564798,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.610901,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.677118,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.711573,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.773431,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.805663,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.869339,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.913637,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:28.967178,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:29.014691,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:29.078646,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:29.109136,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:50:29.169806,491,52.46.136.77,443,1.0,1264,1,1,,1,not_relevant
