date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 12:08:13.244648,95,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:13.263207,54,52.46.136.99,443,1.0,3359934,1,1,,1,ack
2018-10-23 12:08:16.468989,289,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.513940,1126,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.515452,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.515486,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.524927,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.530174,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.532701,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.534905,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.544876,231,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.555115,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.591717,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.593257,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.593286,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.595215,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.595772,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.596601,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.603984,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.611578,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.612787,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.613255,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.613944,584,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.639156,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.645319,54,52.46.136.99,443,1.0,3382,1,1,,1,ack
2018-10-23 12:08:16.700663,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.733583,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.799887,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.836783,54,52.46.136.99,443,1.0,191,1,1,,1,ack
2018-10-23 12:08:16.842700,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.892634,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:16.943082,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.006538,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.037595,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.100593,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.145231,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.192312,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.249347,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.293630,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.341663,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.408639,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.432882,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.506099,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.513075,77,104.154.126.169,4070,2.0,0,1,1,,1,syn
2018-10-23 12:08:17.531275,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.533229,66,104.154.126.169,4070,1.0,3412084,1,1,,1,ack
2018-10-23 12:08:17.600765,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.642656,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.695341,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.740589,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.807112,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.846291,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.903857,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:17.928745,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:18.007189,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:18.040491,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:18.093861,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:18.138819,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:18.201903,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:18.236838,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:08:18.357597,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
