date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-22 10:05:26.216082,77,104.154.126.114,4070,2.0,0,1,1,,1,syn
2018-10-22 10:05:26.239427,66,104.154.126.114,4070,1.0,-265511031,1,1,,1,ack
2018-10-22 10:05:32.139031,95,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:32.157422,54,52.46.136.77,443,1.0,-265494788,1,1,,1,ack
2018-10-22 10:05:42.457817,286,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.483258,378,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.489830,1514,52.46.136.77,443,1.0,10332,1,1,,1,not_relevant
2018-10-22 10:05:42.500450,371,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.509166,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.511290,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.514718,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.518916,928,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.519695,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.539826,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.540474,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.541188,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.542530,481,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.558468,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.559974,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.560005,630,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.577777,54,52.46.136.77,443,1.0,87,1,1,,1,ack
2018-10-22 10:05:42.616818,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.637400,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.702153,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.734073,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.799995,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.881371,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.894417,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:42.936809,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.017352,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.037989,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.101825,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.133183,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.198918,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.257572,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.293588,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.347979,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.416927,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.432781,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.505385,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.541628,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.629710,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.658783,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.766243,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.766783,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.820234,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.870466,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.903595,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:43.932035,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.006230,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.062753,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.091458,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.145153,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.218324,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.236293,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.305110,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.331207,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.401783,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.456911,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.492822,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.540155,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.606974,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.634931,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.706528,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.731292,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.796952,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.863211,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.899468,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:44.940661,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.017469,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.040021,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.102425,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.133929,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.194512,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.241217,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.294634,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.343351,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.416496,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.438025,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.502836,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.534007,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.597746,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.641003,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.696477,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.745228,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.813745,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.833949,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.904151,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.934582,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:45.998465,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.056635,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.089924,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.138176,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.218101,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.234240,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.305773,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.342241,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.400408,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.446185,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.497004,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.541043,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.604640,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.636023,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.706196,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.733088,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.793599,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.853486,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.895164,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:46.941961,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.017792,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.039461,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.100606,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.134059,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.198444,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.260717,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.293099,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.338295,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.416502,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.433956,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.504641,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.528905,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.606165,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.653508,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.692794,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.740837,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.804221,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.834797,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.905929,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.929224,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:47.999209,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:48.028321,54,52.46.136.77,443,1.0,5450,1,1,,1,ack
2018-10-22 10:05:48.028602,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 10:05:48.033555,54,52.46.136.77,443,1.0,4,1,1,,1,ack
2018-10-22 10:05:48.061001,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:48.062296,54,52.46.136.77,443,1.0,28,1,1,,1,ack
2018-10-22 10:05:48.063380,54,52.46.136.77,443,1.0,1,1,1,,1,ack
2018-10-22 10:05:48.065395,54,52.46.136.77,443,1.0,2,1,1,,1,ack
2018-10-22 10:05:48.065523,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 10:05:48.067091,54,52.46.136.77,443,1.0,1,1,1,,1,ack
2018-10-22 10:05:48.067420,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 10:05:48.067829,99,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:48.081836,54,52.46.136.77,443,1.0,14,1,1,,1,ack
2018-10-22 10:05:48.083108,54,52.46.136.77,443,1.0,1,1,1,,1,ack
2018-10-22 10:05:48.106306,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:48.141783,91,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:48.141914,91,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:48.244808,431,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:48.635841,54,52.46.136.77,443,1.0,552,1,1,,1,ack
2018-10-22 10:05:52.333247,175,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:05:56.269629,77,104.154.126.114,4070,2.0,0,1,1,,1,syn
2018-10-22 10:05:56.299413,66,104.154.126.114,4070,1.0,30059,1,1,,1,ack
2018-10-22 10:06:11.795078,288,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.814648,369,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.829777,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.843294,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.848951,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.857760,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.878090,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.878800,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.878828,928,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.879573,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.879724,342,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.913597,668,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.917888,1068,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.918210,891,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.919542,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.958007,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:11.982986,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.048063,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.095596,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.147639,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.195925,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.257569,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.287939,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.351799,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.379202,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.452439,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.491163,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.542663,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.591723,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:06:12.657912,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
