date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-22 11:19:40.488839,286,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.530126,943,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.545035,1291,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.553005,891,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.569130,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.569487,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.569515,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.601001,1514,52.46.136.77,443,1.0,2710070,1,1,,1,not_relevant
2018-10-22 11:19:40.601031,1171,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.608703,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.611428,1514,52.46.136.77,443,1.0,10,1,1,,1,not_relevant
2018-10-22 11:19:40.611457,1171,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.611479,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.611499,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.617952,1365,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.650885,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.652373,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.653904,54,52.46.136.77,443,1.0,42,1,1,,1,ack
2018-10-22 11:19:40.662476,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.734451,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.772784,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.835681,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.868656,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.945994,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:40.974455,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.027260,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.062488,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.128098,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.177902,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.225068,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.275906,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.338244,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.374385,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.448938,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.464743,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.533091,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.581931,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.622139,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.669598,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.738655,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.770176,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.831277,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.861591,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.926651,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:41.973482,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.022881,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.070060,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.135165,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.169863,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.247066,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.264175,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.331214,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.374243,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.423676,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.485765,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.538913,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.571206,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.647715,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.668339,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.726762,54,52.46.136.77,443,1.0,2072,1,1,,1,ack
2018-10-22 11:19:42.730898,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:19:42.778560,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
