date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-25 17:49:16.936831,54,104.17.106.184,80,1.0,282710553,1,1,,1,ack
2018-10-25 17:49:20.980717,857,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.031219,263,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.092245,231,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.092287,1031,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.092301,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.092312,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.092322,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.092333,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.092911,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.092928,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.094451,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.094468,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.097410,54,52.46.132.49,443,1.0,282725010,1,1,,1,ack
2018-10-25 17:49:21.109103,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.109766,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.110238,1514,52.46.132.49,443,1.0,12,1,1,,1,not_relevant
2018-10-25 17:49:21.110584,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.111322,751,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.113962,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.178757,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.209614,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.274217,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.305175,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.367057,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.415717,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.497261,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.532607,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.550748,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.597779,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.669008,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.721007,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.757272,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.790988,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.857223,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.902028,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.948897,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:21.999379,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.067836,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.096268,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.161592,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.188179,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.258695,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.304474,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.371041,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.423253,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.471959,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.494058,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.560176,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.608178,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.675843,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.714282,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.753104,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.800001,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.865583,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.904360,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.959677,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:22.990602,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.043983,54,52.46.132.49,443,1.0,1933,1,1,,1,ack
2018-10-25 17:49:23.051977,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.122358,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.148976,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.211406,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.263394,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.297665,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.358136,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.391682,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.462447,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.506878,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.571101,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.604933,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.667406,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.695080,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.765897,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 17:49:23.789995,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
