date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 11:16:09.459912,95,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:09.477871,54,52.46.136.99,443,1.0,-6565199,1,1,,1,ack
2018-10-23 11:16:09.593503,54,52.216.176.227,80,1.0,-6578808,1,1,,1,ack
2018-10-23 11:16:10.613905,54,54.239.31.37,443,1.0,-4977109,1,1,,1,ack
2018-10-23 11:16:11.434058,107,52.94.232.206,443,3.0,0,1,1,21,1,handshake
2018-10-23 11:16:12.797354,66,54.239.31.37,443,1.0,2183,1,1,,1,ack
2018-10-23 11:16:15.062530,281,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.071126,1077,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.073024,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.073965,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.075463,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.100074,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.100410,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.100441,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.143156,1514,52.46.136.99,443,1.0,5665,1,1,,1,not_relevant
2018-10-23 11:16:15.143208,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.143232,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-23 11:16:15.144738,1514,52.46.136.99,443,1.0,1,1,1,,1,not_relevant
2018-10-23 11:16:15.144803,1020,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.157532,1514,52.46.136.99,443,1.0,12,1,1,,1,not_relevant
2018-10-23 11:16:15.157562,579,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.178632,54,52.46.136.99,443,1.0,21,1,1,,1,ack
2018-10-23 11:16:15.191785,54,52.46.136.99,443,1.0,13,1,1,,1,ack
2018-10-23 11:16:15.196214,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.254293,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.300058,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.337460,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.410922,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.433993,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.499699,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.529999,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.601551,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.651383,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.688509,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.761284,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.814638,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.836290,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.906147,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.930399,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:15.993848,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:16.055550,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:16.090781,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:16.143027,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:16:16.213901,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
