date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-25 18:02:20.840973,66,104.154.127.140,443,1.0,286152629,1,1,,1,ack
2018-10-25 18:02:24.388764,95,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:24.406075,54,52.46.132.49,443,1.0,286156117,1,1,,1,ack
2018-10-25 18:02:27.770546,279,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.794024,1048,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.841682,1291,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.842023,891,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.842041,891,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.842052,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.844069,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.849436,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.852879,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.854967,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.859609,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.865601,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.878274,1291,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.905236,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.907476,631,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.907500,231,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.907510,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.907520,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.917783,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.925435,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.926778,1504,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.949982,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:27.989470,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:28.039813,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:28.085549,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:28.151807,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:28.183329,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:28.248698,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:28.279885,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:28.344892,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:02:28.390496,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
