date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 07:57:20.917487,54,52.216.162.219,80,1.0,273734016,1,1,,1,ack
2018-10-23 07:57:26.027789,54,52.216.238.131,80,1.0,273449446,1,1,,1,ack
2018-10-23 07:57:30.003204,286,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.003619,566,52.46.156.66,443,1.0,273483868,1,1,,1,not_relevant
2018-10-23 07:57:30.003658,566,52.46.156.66,443,1.0,0,1,1,,1,not_relevant
2018-10-23 07:57:30.003684,354,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.023253,566,52.46.156.66,443,1.0,19,1,1,,1,not_relevant
2018-10-23 07:57:30.024877,267,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.024940,379,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.037610,566,52.46.156.66,443,1.0,14,1,1,,1,not_relevant
2018-10-23 07:57:30.042142,566,52.46.156.66,443,1.0,4,1,1,,1,not_relevant
2018-10-23 07:57:30.042482,155,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.045639,54,52.46.156.66,443,1.0,3,1,1,,1,ack
2018-10-23 07:57:30.048151,379,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.049686,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.056930,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.058227,416,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.063722,566,52.46.156.66,443,1.0,18,1,1,,1,not_relevant
2018-10-23 07:57:30.140192,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.140832,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.142904,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.144678,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.144720,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.144748,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.144775,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.144799,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.167506,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.168038,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.168067,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.168091,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.168112,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.168135,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.169514,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.169543,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.187289,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.187916,566,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.187945,228,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.191457,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.253153,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.288944,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.353278,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.384390,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.447508,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.497972,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.549509,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.592873,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.658628,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.694315,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.754976,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.782202,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.847682,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.893667,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:30.942569,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:31.007253,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:31.059922,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:31.091393,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:57:31.159996,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
