date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-22 07:02:06.822309,95,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:06.840734,54,52.46.136.77,443,1.0,-298042126,1,1,,1,ack
2018-10-22 07:02:12.747121,284,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:12.817389,935,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:12.818300,1291,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:12.821928,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:12.864729,1514,52.46.136.77,443,1.0,6023,1,1,,1,not_relevant
2018-10-22 07:02:12.864762,1267,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:12.870502,1514,52.46.136.77,443,1.0,5,1,1,,1,not_relevant
2018-10-22 07:02:12.870534,1267,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:12.872049,1514,52.46.136.77,443,1.0,1,1,1,,1,not_relevant
2018-10-22 07:02:12.872081,1267,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:12.872102,603,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:12.910247,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:12.946857,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:12.999958,54,52.46.136.77,443,1.0,127,1,1,,1,ack
2018-10-22 07:02:13.008582,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.053256,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.096600,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.162330,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.190865,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.256483,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.290630,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.349892,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.403419,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.450541,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.495562,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.559741,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.590925,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.656742,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.697836,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.757635,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.801170,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.844932,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.891690,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.958169,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:13.990811,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.056017,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.090722,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.153706,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.199403,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.255914,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.293437,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.360783,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.402949,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.451061,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.490663,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.551211,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.597556,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.655065,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.701172,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.761023,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.763259,204,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.810348,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.854908,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.891853,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:14.952509,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:15.058463,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:15.058606,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:15.151425,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 07:02:15.191710,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
