date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 11:06:01.278210,66,104.154.126.169,4070,1.0,-1225130,1,1,,1,ack
2018-10-23 11:06:02.056796,74,99.84.240.39,80,1.0,-1346961,0,1,,1,retransmit
2018-10-23 11:06:02.073034,66,99.84.240.39,80,1.0,16,1,1,,1,ack
2018-10-23 11:06:02.099605,150,99.84.240.39,80,3.0,0,1,1,,1,not_relevant
2018-10-23 11:06:02.110990,66,99.84.240.39,80,1.0,37,1,1,,1,ack
2018-10-23 11:06:02.113973,66,99.84.240.39,80,1.0,2,1,1,,1,ack
2018-10-23 11:06:02.120342,54,52.216.228.184,80,1.0,-1355141,1,1,,1,ack
2018-10-23 11:06:02.123037,66,99.84.240.39,80,1.0,9,1,1,,1,ack
2018-10-23 11:06:02.124076,74,52.216.162.91,80,1.0,-1259934,0,1,,1,retransmit
2018-10-23 11:06:02.158826,54,52.216.162.91,80,1.0,34,1,1,,1,ack
2018-10-23 11:06:02.160166,200,52.216.162.91,80,3.0,0,1,1,,1,not_relevant
2018-10-23 11:06:02.189401,54,52.216.162.91,80,1.0,30,1,1,,1,ack
2018-10-23 11:06:02.189604,54,52.216.162.91,80,1.0,0,1,1,,1,ack
2018-10-23 11:06:02.348728,54,52.216.228.184,80,1.0,228,1,1,,1,ack
2018-10-23 11:06:02.579304,54,52.216.228.184,80,1.0,230,1,1,,1,ack
2018-10-23 11:06:03.038771,54,52.216.228.184,80,1.0,459,1,1,,1,ack
2018-10-23 11:06:03.956550,54,52.216.228.184,80,1.0,917,1,1,,1,ack
2018-10-23 11:06:04.258683,74,52.94.227.120,443,1.0,101105355,0,1,,1,retransmit
2018-10-23 11:06:04.363806,54,52.94.227.120,443,1.0,105,1,1,,1,ack
2018-10-23 11:06:04.366249,571,52.94.227.120,443,3.0,0,1,1,22,1,handshake
2018-10-23 11:06:04.399358,54,52.94.227.120,443,1.0,35,1,1,,1,ack
2018-10-23 11:06:04.400164,54,52.94.227.120,443,1.0,0,1,1,,1,ack
2018-10-23 11:06:04.400410,54,52.94.227.120,443,1.0,0,1,1,,1,ack
2018-10-23 11:06:04.400966,54,52.94.227.120,443,1.0,0,1,1,,1,ack
2018-10-23 11:06:04.413586,66,52.94.227.120,443,1.0,12,1,1,,1,ack
2018-10-23 11:06:04.445657,204,52.94.227.120,443,3.0,0,1,1,22,1,handshake
2018-10-23 11:06:04.477561,54,52.94.227.120,443,1.0,63,1,1,,1,ack
2018-10-23 11:06:04.480757,695,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.480787,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.480810,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.480832,1514,52.94.227.120,443,1.0,3,1,1,,1,not_relevant
2018-10-23 11:06:04.481700,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.481730,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.481752,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.481773,1514,52.94.227.120,443,1.0,0,1,1,,1,not_relevant
2018-10-23 11:06:04.483079,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.499816,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.500614,1514,52.94.227.120,443,1.0,18,1,1,,1,not_relevant
2018-10-23 11:06:04.500644,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.502575,1514,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.502605,1514,52.94.227.120,443,1.0,1,1,1,,1,not_relevant
2018-10-23 11:06:04.502626,697,52.94.227.120,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:04.552774,54,52.94.227.120,443,1.0,50,1,1,,1,ack
2018-10-23 11:06:05.799389,54,52.216.228.184,80,1.0,1842,1,1,,1,ack
2018-10-23 11:06:06.159410,778,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.185790,263,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.207353,231,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.215770,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.217291,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.218350,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.239409,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.247956,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.248752,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.249461,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.250965,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.252200,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.253089,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.253713,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.254674,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.257628,1365,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.257864,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.267136,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.268565,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.269008,445,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.270107,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.292978,54,52.46.136.99,443,1.0,101107872,1,1,,1,ack
2018-10-23 11:06:06.298510,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.299825,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.314166,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.314827,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.315123,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.341655,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.394055,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.441757,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.487917,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.562046,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.584887,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.650064,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.681562,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.747399,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.794333,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.841133,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.961267,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:06.961430,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.040829,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.079235,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.080599,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.154796,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.208890,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.238005,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.299525,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.363081,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.410070,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.468071,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.545365,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.546667,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.594564,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.635821,54,52.46.136.99,443,1.0,1342,1,1,,1,ack
2018-10-23 11:06:07.641917,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.678722,54,52.46.136.99,443,1.0,42,1,1,,1,ack
2018-10-23 11:06:07.685783,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.753042,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.791377,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:06:07.851863,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
