date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-25 18:11:09.546643,95,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:09.564111,54,52.46.132.49,443,1.0,288222939,1,1,,1,ack
2018-10-25 18:11:11.964284,66,104.154.127.140,443,1.0,288210709,1,1,,1,ack
2018-10-25 18:11:14.981005,340,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.007562,264,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.015199,1291,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.015551,891,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.070813,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.072321,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.073827,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.076829,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.080291,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.084452,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.084949,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.087141,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.090607,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.095012,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.097866,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.106798,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.107061,54,52.46.132.49,443,1.0,5542,1,1,,1,ack
2018-10-25 18:11:15.112200,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.115537,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.117767,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.119802,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.122071,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.123054,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.143776,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.144835,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.144865,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.144929,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.144963,1216,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.145429,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.145774,1216,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.161988,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.240705,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.275395,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.328215,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.420182,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.436940,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.473709,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.555190,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.560152,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.658655,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.677823,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.730074,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.777267,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.876274,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.876699,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.940658,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:15.961486,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.025585,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.070215,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.118691,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.180492,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.235288,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.262972,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.350938,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.358376,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.428670,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.473328,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.522342,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.580568,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.634336,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.665253,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.740422,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.760303,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.828216,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.875717,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.913930,54,52.46.132.49,443,1.0,1806,1,1,,1,ack
2018-10-25 18:11:16.921816,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:16.980652,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:17.009032,54,52.46.132.49,443,1.0,95,1,1,,1,ack
2018-10-25 18:11:17.050744,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:17.075741,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:17.100040,187,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:11:17.137452,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
