date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 06:45:53.560916,66,104.154.127.233,4070,1.0,-16532515,1,1,,1,ack
2018-10-23 06:45:55.264502,95,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:55.282926,54,52.46.136.99,443,1.0,-15870964,1,1,,1,ack
2018-10-23 06:45:56.649637,77,104.154.127.233,4070,2.0,0,1,1,,1,syn
2018-10-23 06:45:56.678558,66,104.154.127.233,4070,1.0,3117,1,1,,1,ack
2018-10-23 06:45:58.215749,781,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.215881,266,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.272627,1431,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.288788,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.293156,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.294592,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.294608,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.334239,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.336176,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.357637,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.358019,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.358034,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.358059,54,52.46.136.99,443,1.0,3075,1,1,,1,ack
2018-10-23 06:45:58.365499,1514,52.46.136.99,443,1.0,7,1,1,,1,not_relevant
2018-10-23 06:45:58.365973,1245,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.379231,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.379694,1514,52.46.136.99,443,1.0,14,1,1,,1,not_relevant
2018-10-23 06:45:58.379912,845,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.386443,928,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.386760,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.387919,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.450613,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.474533,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.546555,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.591666,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.639511,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.685641,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.754773,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.778474,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.849124,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.879705,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.943797,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:58.990425,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.048854,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.083259,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.164283,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.192278,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.258103,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.277668,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.350842,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.425526,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.439121,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.487210,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.554168,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:45:59.581328,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
