date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 12:28:43.931966,95,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:43.950251,54,52.46.136.99,443,1.0,-948904,1,1,,1,ack
2018-10-23 12:28:45.037718,97,99.84.240.102,443,3.0,0,1,1,21,1,handshake
2018-10-23 12:28:45.037830,66,99.84.240.102,443,1.0,-1105000,1,1,,1,ack
2018-10-23 12:28:46.964051,284,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.071614,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.072915,1040,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.107195,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.108810,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.108859,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.108876,779,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.129640,1514,52.46.136.99,443,1.0,3179,1,1,,1,not_relevant
2018-10-23 12:28:47.129808,771,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.133404,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.149756,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.151165,1514,52.46.136.99,443,1.0,21,1,1,,1,not_relevant
2018-10-23 12:28:47.152265,1514,52.46.136.99,443,1.0,1,1,1,,1,not_relevant
2018-10-23 12:28:47.152796,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.241846,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.280300,761,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.280380,54,52.46.136.99,443,1.0,128,1,1,,1,ack
2018-10-23 12:28:47.288656,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.394345,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.444397,928,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:47.707823,1514,52.46.136.99,443,1.0,427,1,1,,1,not_relevant
2018-10-23 12:28:48.228074,1514,52.46.136.99,443,1.0,520,1,1,,1,not_relevant
2018-10-23 12:28:49.264959,1514,52.46.136.99,443,1.0,1036,1,1,,1,not_relevant
2018-10-23 12:28:49.431384,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:49.431808,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:49.431843,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:49.431859,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.065108,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.085905,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.087936,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.087954,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.087966,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.087978,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.104593,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.106371,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.106889,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.108522,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.109005,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.110359,1315,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.142233,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.185096,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.234844,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.305740,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.327770,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.364300,54,52.46.136.99,443,1.0,1099,1,1,,1,ack
2018-10-23 12:28:50.391852,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.444850,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.489790,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.494838,204,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.541738,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.603654,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.632379,54,52.46.136.99,443,1.0,268,1,1,,1,ack
2018-10-23 12:28:50.632608,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 12:28:50.632780,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.652365,99,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.652654,54,52.46.136.99,443,1.0,20,1,1,,1,ack
2018-10-23 12:28:50.674236,54,52.46.136.99,443,1.0,21,1,1,,1,ack
2018-10-23 12:28:50.706734,91,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.707136,91,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.707516,419,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 12:28:50.709940,54,52.46.136.99,443,1.0,35,1,1,,1,ack
2018-10-23 12:28:50.730720,54,52.46.136.99,443,1.0,20,1,1,,1,ack
2018-10-23 12:28:50.732066,54,52.46.136.99,443,1.0,1,1,1,,1,ack
