date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 05:53:21.434624,95,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:21.452360,54,52.94.240.174,443,1.0,-20466865,1,1,,1,ack
2018-10-22 05:53:24.213830,285,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.247133,1029,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.258826,231,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.260174,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.265050,891,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.283263,1431,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.306414,231,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.312913,1031,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.313477,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.327699,1514,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.330795,1282,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.371351,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.410383,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.411799,54,52.94.240.174,443,1.0,2959,1,1,,1,ack
2018-10-22 05:53:24.467421,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.511705,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.559141,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.607957,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.673016,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.710962,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.764781,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.817934,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.865810,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.912514,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:24.962698,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.011150,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.073820,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.105064,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.170763,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.200841,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.269665,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.311698,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.359779,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.406023,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.476629,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.519966,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.537767,54,52.94.240.174,443,1.0,1125,1,1,,1,ack
2018-10-22 05:53:25.568277,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.599220,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.669051,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.716189,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.764013,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.809837,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.874334,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.913986,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:25.972368,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.006754,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.066036,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.113346,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.158367,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.217582,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.285934,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.324490,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.373571,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.464367,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.464682,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.520260,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.581167,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.611692,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.669698,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.717083,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.767160,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.800998,54,52.94.240.174,443,1.0,1263,1,1,,1,ack
2018-10-22 05:53:26.802338,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.919142,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.921745,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:26.960500,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:27.011883,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:27.077535,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:27.107651,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:27.172629,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:53:27.203929,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
