date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 11:27:21.877773,54,52.216.110.123,80,1.0,21282460,1,1,,1,ack
2018-10-22 11:27:26.869265,285,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:26.915262,944,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:26.941017,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:26.941113,631,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:26.950704,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.023898,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.025899,1514,52.46.136.77,443,1.0,21281754,1,1,,1,not_relevant
2018-10-22 11:27:27.025935,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.025962,1514,52.46.136.77,443,1.0,0,1,1,,1,not_relevant
2018-10-22 11:27:27.026007,1514,52.46.136.77,443,1.0,0,1,1,,1,not_relevant
2018-10-22 11:27:27.042589,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.043437,1514,52.46.136.77,443,1.0,17,1,1,,1,not_relevant
2018-10-22 11:27:27.044185,1330,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.099874,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.136856,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.200606,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.223053,54,52.46.136.77,443,1.0,179,1,1,,1,ack
2018-10-22 11:27:27.228465,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.302721,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.340380,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.395897,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.434158,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.497816,54,52.46.136.77,443,1.0,274,1,1,,1,ack
2018-10-22 11:27:27.498039,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.533976,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.599702,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.624139,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.702114,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.743780,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.784857,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.832114,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.902009,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.936813,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:27.997750,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.033457,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.109094,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.165269,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.185569,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.271579,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.302631,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.345518,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.428796,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.439458,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.497434,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.559184,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.592993,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.634974,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.761764,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.764566,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.797312,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.826721,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.900269,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.935053,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:28.989262,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.037570,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.102873,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.137828,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.199740,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.224365,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.243837,54,52.46.136.77,443,1.0,1746,1,1,,1,ack
2018-10-22 11:27:29.302884,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.337889,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.384750,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.437198,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.463459,54,52.46.136.77,443,1.0,219,1,1,,1,ack
2018-10-22 11:27:29.496593,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.510224,54,52.46.136.77,443,1.0,46,1,1,,1,ack
2018-10-22 11:27:29.538653,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.574654,54,52.216.97.19,80,1.0,21332739,1,1,,1,ack
2018-10-22 11:27:29.594550,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.628305,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.699707,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.737833,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.739326,54,52.46.136.77,443,1.0,229,1,1,,1,ack
2018-10-22 11:27:29.741370,54,52.46.136.77,443,1.0,2,1,1,,1,ack
2018-10-22 11:27:29.792205,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:27:29.803633,54,52.46.136.77,443,1.0,62,1,1,,1,ack
2018-10-22 11:27:29.803800,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 11:27:29.803885,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 11:27:29.804688,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 11:27:29.805603,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 11:27:29.830257,54,52.46.136.77,443,1.0,24,1,1,,1,ack
