date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 08:20:07.836811,77,104.154.126.114,4070,2.0,0,1,1,,1,syn
2018-10-22 08:20:07.855279,66,104.154.126.114,4070,1.0,9091385,1,1,,1,ack
2018-10-22 08:20:11.116424,95,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:11.178143,54,52.46.136.77,443,1.0,9102548,1,1,,1,ack
2018-10-22 08:20:12.239404,282,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.283098,361,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.313455,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.313730,1514,52.46.136.77,443,1.0,1135,1,1,,1,not_relevant
2018-10-22 08:20:12.331803,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.332153,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.333516,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.350179,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.350527,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.351968,1514,52.46.136.77,443,1.0,38,1,1,,1,not_relevant
2018-10-22 08:20:12.352312,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.353690,1514,52.46.136.77,443,1.0,1,1,1,,1,not_relevant
2018-10-22 08:20:12.369128,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.369899,326,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.407075,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.425176,54,52.46.136.77,443,1.0,71,1,1,,1,ack
2018-10-22 08:20:12.425773,54,52.46.136.77,443,1.0,0,1,1,,1,ack
2018-10-22 08:20:12.456296,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.494296,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.556408,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.626554,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.653179,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.699907,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.763801,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:20:12.799821,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
