date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-25 18:37:03.422822,280,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.434527,468,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.453389,231,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.454797,1291,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.470168,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.470308,779,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.472560,928,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.472997,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.488389,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.490770,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.491113,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.518417,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.519387,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.519404,101,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.538518,54,52.46.132.49,443,1.0,211788758,1,1,,1,ack
2018-10-25 18:37:03.558460,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.598866,54,52.46.132.49,443,1.0,60,1,1,,1,ack
2018-10-25 18:37:03.611010,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.677191,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.697919,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.774931,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.795845,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.867589,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.891659,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:03.963970,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.002467,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.050652,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.099346,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.171132,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.207350,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.258463,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.292713,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.355100,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.401854,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.459821,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.504166,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.569992,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.594664,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.668783,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.691511,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.786095,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.805924,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.853351,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.905158,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.972123,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:37:04.996532,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
