date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 11:32:17.667805,95,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:17.689416,54,52.46.136.99,443,1.0,12896771,1,1,,1,ack
2018-10-23 11:32:22.695728,287,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.716516,1040,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.752323,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.754122,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.756159,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.782303,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.783849,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.783864,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.783877,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.797964,631,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.805387,1514,52.46.136.99,443,1.0,5115,1,1,,1,not_relevant
2018-10-23 11:32:22.805437,1267,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.810395,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.813252,712,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.815147,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.823657,54,52.46.136.99,443,1.0,18,1,1,,1,ack
2018-10-23 11:32:22.858079,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.900935,54,52.46.136.99,443,1.0,77,1,1,,1,ack
2018-10-23 11:32:22.907743,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:22.941980,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.015246,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.037966,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.103868,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.149110,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.196752,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.255332,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.305779,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.341647,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.414817,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.431977,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.503635,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.546880,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.594099,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.658144,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.712492,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.740852,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.815194,77,104.154.126.169,4070,2.0,0,1,1,,1,syn
2018-10-23 11:32:23.815413,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.833804,66,104.154.126.169,4070,1.0,12869568,1,1,,1,ack
2018-10-23 11:32:23.834950,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.897011,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:23.979517,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.009403,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.080119,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.141698,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.142106,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.221135,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.248391,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.304609,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.347994,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.403845,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.457912,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.517531,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.614791,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.616123,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.638575,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.702463,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.745939,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.794979,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.844236,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.912012,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:24.945238,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.015491,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.037097,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.101973,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.146716,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.219478,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.238096,54,52.46.136.99,443,1.0,2337,1,1,,1,ack
2018-10-23 11:32:25.243472,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.315095,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.337821,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.417536,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.434101,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.501705,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.545860,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.593847,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.654787,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.704524,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.740087,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.814808,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.837066,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.900871,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.945698,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:25.986879,54,52.46.136.99,443,1.0,748,1,1,,1,ack
2018-10-23 11:32:25.993304,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:26.013433,54,52.46.136.99,443,1.0,26,1,1,,1,ack
2018-10-23 11:32:26.055489,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:26.110884,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:26.141666,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:26.215872,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:26.239577,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:32:26.303308,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
