date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-20 06:15:39.224917,66,104.154.127.189,443,1.0,-261590323,1,1,,1,ack
2018-10-20 06:15:41.998253,783,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.046709,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.115381,1514,52.46.136.99,443,1.0,-263953908,1,1,,1,not_relevant
2018-10-20 06:15:42.115398,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.115682,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-20 06:15:42.115697,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-20 06:15:42.115708,1020,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.115720,260,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.123962,1514,52.46.136.99,443,1.0,8,1,1,,1,not_relevant
2018-10-20 06:15:42.133677,1016,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.139744,54,52.46.136.99,443,1.0,15,1,1,,1,ack
2018-10-20 06:15:42.185238,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.214617,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.279034,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.306556,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.377760,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.406206,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.471095,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.522314,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.565811,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.616597,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.676765,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.710103,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.777986,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.815431,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.869965,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.914991,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:42.965675,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.017517,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.084872,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.110030,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.177903,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.202295,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.269040,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.319469,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.367537,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.409694,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.483839,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.515667,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.569263,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.602734,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.668173,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.713274,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.764974,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.810011,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.876235,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.924936,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:43.968891,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.004664,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.066661,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.114533,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.165226,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.215347,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.278407,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.305589,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.376420,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.406739,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.471389,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.517573,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.569849,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.612632,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.676297,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.708997,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.772026,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.804071,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.868974,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.915361,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.963498,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:44.971360,54,52.216.128.139,80,1.0,-281727747,1,1,,1,ack
2018-10-20 06:15:45.010043,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.078411,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.112216,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.179792,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.214521,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.278486,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.318161,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.368824,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.488852,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.500446,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.507000,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.623492,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.636010,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.665638,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.730297,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.779047,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.810785,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.892937,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.969548,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:45.970323,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:46.004460,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:46.105019,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:46.107139,54,52.46.136.99,443,1.0,3967,1,1,,1,ack
2018-10-20 06:15:46.107281,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-20 06:15:46.108311,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-20 06:15:46.109385,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-20 06:15:46.112150,54,52.46.136.99,443,1.0,2,1,1,,1,ack
2018-10-20 06:15:46.116930,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:15:46.126816,54,52.46.136.99,443,1.0,14,1,1,,1,ack
2018-10-20 06:15:46.127829,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-20 06:15:46.129075,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-20 06:15:46.159956,54,52.46.136.99,443,1.0,30,1,1,,1,ack
2018-10-20 06:15:46.161763,54,52.46.136.99,443,1.0,1,1,1,,1,ack
