date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 05:30:37.285680,66,104.154.127.184,443,1.0,-109478110,1,1,,1,ack
2018-10-22 05:30:39.089756,287,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.112416,1070,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.125223,1431,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.145988,1514,52.94.240.174,443,1.0,-109481042,1,1,,1,not_relevant
2018-10-22 05:30:39.146023,371,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.146044,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.158863,631,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.170392,1291,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.172268,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.174752,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.177381,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.180552,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.181911,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.194952,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.195165,891,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.219122,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.285989,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.337718,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.385421,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.436050,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.481026,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.521939,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.598238,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.619493,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.685715,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.718366,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.793622,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.829523,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.879056,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.926577,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:39.992632,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.023349,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.089235,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.115047,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.180886,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.230219,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.275812,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.323478,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.389775,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.426547,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.489507,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.519371,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.584148,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.630432,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.680061,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.728129,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.795264,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.820171,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.891524,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.916700,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:40.982699,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
2018-10-22 05:30:41.027662,491,52.94.240.174,443,3.0,0,1,1,23,1,expected
