date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 06:53:21.360555,95,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:21.378971,54,52.46.136.99,443,1.0,-2371677,1,1,,1,ack
2018-10-23 06:53:25.541106,286,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.583740,349,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.606737,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.607224,1319,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.627306,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.628767,268,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.656869,1514,52.46.136.99,443,1.0,4277,1,1,,1,not_relevant
2018-10-23 06:53:25.656900,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.656924,1348,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.677244,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.677278,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.677301,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.696600,762,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.710256,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.761301,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.829619,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.864465,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.925823,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.955776,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:25.968310,54,52.46.136.99,443,1.0,311,1,1,,1,ack
2018-10-23 06:53:26.130348,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:26.130542,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:26.130676,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:26.243681,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:26.249501,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:26.259698,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:26.337966,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:26.398769,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:53:26.418108,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
