date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 09:44:26.937504,54,52.216.130.155,80,1.0,-291009651,1,1,,1,ack
2018-10-22 09:44:27.002261,66,52.216.130.155,80,1.0,64,1,1,,1,ack
2018-10-22 09:44:30.312581,288,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.323091,350,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.341250,1514,52.46.136.77,443,1.0,-290982077,1,1,,1,not_relevant
2018-10-22 09:44:30.342601,371,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.357359,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.359979,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.360677,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.375414,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.384615,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.388562,1031,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.397685,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.423693,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.424502,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.424524,445,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.425896,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.426266,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.443255,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.444137,342,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.444165,54,52.46.136.77,443,1.0,102,1,1,,1,ack
2018-10-22 09:44:30.468437,54,52.46.136.77,443,1.0,24,1,1,,1,ack
2018-10-22 09:44:30.480819,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.514583,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.583254,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.612054,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.675660,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.723326,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.767160,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.824182,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.881595,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:44:30.915679,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
