date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 06:42:16.004617,54,52.216.233.11,80,1.0,-15185815,1,1,,1,ack
2018-10-23 06:42:19.072601,54,52.216.170.27,80,1.0,-15158710,1,1,,1,ack
2018-10-23 06:42:20.749255,77,104.154.127.233,4070,2.0,0,1,1,,1,syn
2018-10-23 06:42:20.768289,66,104.154.127.233,4070,1.0,-791629,1,1,,1,ack
2018-10-23 06:42:26.533258,285,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.549292,940,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.552007,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.559972,1031,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.590164,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.593613,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.593644,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.593682,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.704238,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.705778,1514,52.46.136.99,443,1.0,-694812,1,1,,1,not_relevant
2018-10-23 06:42:26.705812,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-23 06:42:26.706064,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.707869,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.707918,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.707970,1486,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.715348,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.759009,54,52.46.136.99,443,1.0,53,1,1,,1,ack
2018-10-23 06:42:26.763737,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.798160,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.863575,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.915155,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:26.957056,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.007015,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.073239,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.097339,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.170294,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.195171,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.266975,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.324764,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.367300,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.401841,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.477610,491,52.46.136.99,443,1.0,718,1,1,,1,not_relevant
2018-10-23 06:42:27.477793,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.498350,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.569355,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.724036,1365,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.792643,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.806018,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.872253,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.901941,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:27.964198,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.024830,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.058488,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.116620,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.429494,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.430845,1216,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.457033,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.510475,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.555762,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.607555,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.670469,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.715640,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.763789,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.806015,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:28.868385,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:29.328719,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:42:29.329071,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
