date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 07:36:34.238103,107,52.94.227.120,443,3.0,0,1,1,21,1,handshake
2018-10-23 07:36:35.132833,77,104.154.127.233,4070,2.0,0,1,1,,1,syn
2018-10-23 07:36:35.166771,66,104.154.127.233,4070,1.0,271947142,1,1,,1,ack
2018-10-23 07:36:45.778140,107,52.94.227.120,443,1.0,271968700,1,1,,1,not_relevant
2018-10-23 07:36:49.420050,285,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.435806,343,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.452767,1431,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.575347,1514,52.46.156.66,443,1.0,272062866,1,1,,1,not_relevant
2018-10-23 07:36:49.576095,1267,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.576152,572,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.576210,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.577091,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.577121,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.577168,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.577226,1514,52.46.156.66,443,1.0,1,1,1,,1,not_relevant
2018-10-23 07:36:49.577277,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:49.594354,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.595010,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.595518,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.596028,650,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.624833,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.652499,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.728501,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.772819,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.814542,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.862673,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.928676,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:49.967397,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.026726,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.051834,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.125171,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.166308,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.211568,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.261214,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.332492,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.366616,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.433018,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.450099,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.527760,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.562141,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.611166,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.660099,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.730611,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.769212,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.827593,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.856887,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.925189,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:50.968611,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.015878,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.063420,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.131294,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.162246,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.223252,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.253796,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.324657,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.365797,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.414694,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.463555,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.530632,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.565296,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.630805,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.652225,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.725206,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.771429,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.814087,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.858800,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.928437,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:51.961699,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.027397,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.051554,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.124804,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.169149,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.225911,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.263781,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.328122,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.361740,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.421283,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.455369,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.524886,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.565717,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.613787,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.661314,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.732346,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.761969,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.826409,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.850495,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.914859,54,52.46.156.66,443,1.0,3337,1,1,,1,ack
2018-10-23 07:36:52.923867,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:52.968801,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.016015,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.016294,54,52.46.156.66,443,1.0,101,1,1,,1,ack
2018-10-23 07:36:53.085703,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.129952,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.166902,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.186323,54,52.46.156.66,443,1.0,170,1,1,,1,ack
2018-10-23 07:36:53.226747,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.259914,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.305253,54,52.46.156.66,443,1.0,118,1,1,,1,ack
2018-10-23 07:36:53.307526,54,52.46.156.66,443,1.0,2,1,1,,1,ack
2018-10-23 07:36:53.307613,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.327646,54,52.46.156.66,443,1.0,20,1,1,,1,ack
2018-10-23 07:36:53.328904,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.329321,54,52.46.156.66,443,1.0,1,1,1,,1,ack
2018-10-23 07:36:53.351284,54,52.46.156.66,443,1.0,21,1,1,,1,ack
2018-10-23 07:36:53.351375,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.405835,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.406057,54,52.46.156.66,443,1.0,54,1,1,,1,ack
2018-10-23 07:36:53.406143,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.406220,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.406314,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.406391,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.406464,99,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.428220,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.428369,54,52.46.156.66,443,1.0,21,1,1,,1,ack
2018-10-23 07:36:53.428456,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.429939,54,52.46.156.66,443,1.0,1,1,1,,1,ack
2018-10-23 07:36:53.430696,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.430967,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.431398,99,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.450431,54,52.46.156.66,443,1.0,19,1,1,,1,ack
2018-10-23 07:36:53.450607,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.452832,54,52.46.156.66,443,1.0,2,1,1,,1,ack
2018-10-23 07:36:53.453604,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.454477,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.454709,99,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.454795,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.487605,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.491666,54,52.46.156.66,443,1.0,36,1,1,,1,ack
2018-10-23 07:36:53.491799,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.491880,54,52.46.156.66,443,1.0,0,1,1,,1,ack
2018-10-23 07:36:53.503541,54,52.46.156.66,443,1.0,11,1,1,,1,ack
2018-10-23 07:36:53.503698,99,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:36:53.506384,54,52.46.156.66,443,1.0,2,1,1,,1,ack
2018-10-23 07:36:53.513937,54,52.46.156.66,443,1.0,7,1,1,,1,ack
