date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 12:57:59.386928,95,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:57:59.405342,54,52.94.240.160,443,1.0,133280,1,1,,1,ack
2018-10-23 12:58:01.925382,66,104.154.126.169,4070,1.0,144927,1,1,,1,ack
2018-10-23 12:58:04.462122,287,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.462702,819,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.463103,267,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.464786,1078,52.94.240.160,443,1.0,5059,1,1,,1,not_relevant
2018-10-23 12:58:04.464809,443,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.473728,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.474288,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.480834,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.481236,778,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.509486,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.510421,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.510453,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.510476,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.510499,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.510521,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.511914,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.516399,891,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.525705,667,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.534222,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.545725,667,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.548157,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 12:58:04.548529,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
