date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-20 06:01:33.057338,77,104.154.127.189,443,2.0,0,1,1,,1,not_relevant
2018-10-20 06:01:33.078926,66,104.154.127.189,443,1.0,-277479599,1,1,,1,ack
2018-10-20 06:01:36.099553,279,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.130470,964,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.135924,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.136883,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.146456,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.150932,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.152304,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.164054,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.169413,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.172818,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.174793,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.176444,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.183922,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.184849,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.189389,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.196411,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.201899,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.204540,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.205235,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.206242,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.206916,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.208373,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.222651,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.236981,1031,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.267644,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.301755,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.305645,54,52.46.136.99,443,1.0,-277476008,1,1,,1,ack
2018-10-20 06:01:36.351798,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.410657,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.473390,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.497647,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.558631,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.591656,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.656324,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.672696,54,52.46.136.99,443,1.0,367,1,1,,1,ack
2018-10-20 06:01:36.717008,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.767515,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.794007,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.864892,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.894233,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.960377,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:36.996915,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.062711,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.103668,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.151042,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.197505,54,52.46.136.99,443,1.0,524,1,1,,1,ack
2018-10-20 06:01:37.198871,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.261823,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.296543,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.360715,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.391080,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.455563,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.501128,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.550205,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.597778,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.663596,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.696527,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.760191,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.791347,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.859642,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.902486,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.949622,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:37.996280,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.064394,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.090700,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.160340,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.192932,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.259197,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.320411,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.351505,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.397568,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.462977,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.494400,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.559608,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.602913,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.656218,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.701157,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.751757,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.795967,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.865816,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.896690,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.960276,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:38.991217,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:39.055915,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:39.101406,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:39.150813,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-20 06:01:39.196518,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
