date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-25 18:31:44.791017,66,104.154.127.140,443,1.0,195315829,1,1,,1,ack
2018-10-25 18:31:49.397388,277,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.397805,448,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.404549,1514,52.46.132.49,443,1.0,195173341,1,1,,1,not_relevant
2018-10-25 18:31:49.431189,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.432539,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.432570,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.434138,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.434170,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.529624,1514,52.46.132.49,443,1.0,125,1,1,,1,not_relevant
2018-10-25 18:31:49.530026,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.530057,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.530079,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.530362,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.530396,1496,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.548034,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.548852,54,52.46.132.49,443,1.0,19,1,1,,1,ack
2018-10-25 18:31:49.610438,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.679501,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.682195,54,52.46.132.49,443,1.0,133,1,1,,1,ack
2018-10-25 18:31:49.699475,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 18:31:49.728223,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
