date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-22 09:40:20.238204,95,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:20.256739,54,52.46.136.77,443,1.0,-79807269,1,1,,1,ack
2018-10-22 09:40:23.145273,278,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.195955,392,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.222181,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.241641,1514,52.46.136.77,443,1.0,2984,1,1,,1,not_relevant
2018-10-22 09:40:23.243063,1059,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.262300,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.263080,1105,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.263112,54,52.46.136.77,443,1.0,21,1,1,,1,ack
2018-10-22 09:40:23.303160,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.304862,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.304887,445,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.323616,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.325341,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.325372,556,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.335932,54,52.46.136.77,443,1.0,72,1,1,,1,ack
2018-10-22 09:40:23.358830,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.392095,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.442785,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.488557,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.550807,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.586198,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.649071,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.680310,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.743955,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.790833,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.845374,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.887324,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.952825,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:23.983970,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.055385,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.092169,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.144969,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.194227,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.253123,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.285274,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.351406,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.381710,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.448121,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.493550,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.543389,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.591645,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.655511,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.689966,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.755934,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.781000,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.853934,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.878790,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.945084,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:24.991100,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.043383,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.093694,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.155178,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.185427,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.251096,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.292103,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.342324,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.416540,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.439951,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.488936,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.551570,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.586133,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.651816,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.683252,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.746478,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.797065,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.839465,77,104.154.126.114,4070,2.0,0,1,1,,1,syn
2018-10-22 09:40:25.861366,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:40:25.877717,66,104.154.126.114,4070,1.0,-79650467,1,1,,1,ack
