date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 13:02:55.955144,95,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:02:55.973509,54,52.94.240.160,443,1.0,1550361,1,1,,1,ack
2018-10-23 13:03:11.234954,287,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.298022,805,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.330838,667,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.354653,667,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.354683,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.372236,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.373008,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.374504,1078,52.94.240.160,443,1.0,15400,1,1,,1,not_relevant
2018-10-23 13:03:11.427102,1078,52.94.240.160,443,1.0,52,1,1,,1,not_relevant
2018-10-23 13:03:11.432261,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.432617,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.442744,54,52.94.240.160,443,1.0,15,1,1,,1,ack
2018-10-23 13:03:11.445764,1078,52.94.240.160,443,1.0,3,1,1,,1,not_relevant
2018-10-23 13:03:11.450543,1078,52.94.240.160,443,1.0,4,1,1,,1,not_relevant
2018-10-23 13:03:11.451385,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.477055,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.478404,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.478434,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.478644,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.496419,1078,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.496690,58,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.526744,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-23 13:03:11.554631,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
