date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-20 03:55:06.901030,54,52.46.157.16,443,1.0,-268315265,1,1,,1,ack
2018-10-20 03:55:09.291438,77,104.154.127.131,4070,2.0,0,1,1,,1,syn
2018-10-20 03:55:09.311915,66,104.154.127.131,4070,1.0,-268312886,1,1,,1,ack
2018-10-20 03:55:09.386653,287,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.416742,1063,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.459904,231,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.475523,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.476579,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.479011,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.480556,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.480584,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.520639,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.525208,928,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.526036,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.528474,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.530032,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.530048,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.530060,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.534687,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.543679,1514,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.544019,1514,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.546089,1067,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.560392,54,52.94.240.160,443,1.0,-268363785,1,1,,1,ack
2018-10-20 03:55:09.577838,1031,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.611973,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.647346,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.708649,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.744970,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.807883,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.847982,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.900488,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:09.948900,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.006573,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.055884,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.125093,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.138573,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.217182,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.252940,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.298148,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.355784,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.406969,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.444660,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.510634,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.543376,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.605755,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.646508,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.706901,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.745632,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.794341,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.846525,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.917419,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:10.942305,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:11.008249,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 03:55:11.033129,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
