date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-20 04:01:36.629156,95,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:36.662086,54,52.94.240.160,443,1.0,-188599358,1,1,,1,ack
2018-10-20 04:01:40.844979,77,104.154.127.131,4070,2.0,0,1,1,,1,syn
2018-10-20 04:01:40.863467,66,104.154.127.131,4070,1.0,-188699607,1,1,,1,ack
2018-10-20 04:01:41.270868,286,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.296934,964,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.323050,631,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.334122,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.355575,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.361578,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.378238,1514,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.378254,1514,52.94.240.160,443,1.0,4716,1,1,,1,not_relevant
2018-10-20 04:01:41.378270,1514,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.395523,1514,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.396887,1514,52.94.240.160,443,1.0,18,1,1,,1,not_relevant
2018-10-20 04:01:41.400861,1042,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.401029,54,52.94.240.160,443,1.0,4,1,1,,1,ack
2018-10-20 04:01:41.412729,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.469607,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.529130,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.570222,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.615966,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.656421,54,52.94.240.160,443,1.0,255,1,1,,1,ack
2018-10-20 04:01:41.665906,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.715202,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.756440,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.805772,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.871605,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.918848,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:41.947610,54,52.94.240.160,443,1.0,291,1,1,,1,ack
2018-10-20 04:01:41.990085,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.001631,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.062474,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.115294,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.233653,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.233840,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.360349,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.366692,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.368404,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.424799,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.506113,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.511377,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.558969,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.620062,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.677359,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.702011,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.821772,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.822159,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.865773,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.927075,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:42.959947,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:43.006464,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:43.074326,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:43.102509,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:43.173049,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:43.203677,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
2018-10-20 04:01:43.266513,491,52.94.240.160,443,3.0,0,1,1,23,1,expected
