date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 11:26:26.408587,54,52.216.65.152,80,1.0,-205210235,1,1,,1,ack
2018-10-23 11:26:27.064675,77,104.154.126.169,4070,2.0,0,1,1,,1,syn
2018-10-23 11:26:27.093968,66,104.154.126.169,4070,1.0,-205460381,1,1,,1,ack
2018-10-23 11:26:28.529606,1033,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.573386,267,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.590289,231,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.595984,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.608539,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.609853,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.609885,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.609984,631,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.635642,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.637891,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.639229,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.644170,631,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.650896,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.652272,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.688457,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.690382,1514,52.46.136.99,443,1.0,-205246328,1,1,,1,not_relevant
2018-10-23 11:26:28.690405,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.690456,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-23 11:26:28.690499,288,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.706837,54,52.46.136.99,443,1.0,16,1,1,,1,ack
2018-10-23 11:26:28.711761,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.744288,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.815094,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.863844,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.909628,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:28.977577,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.017302,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.049566,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.114947,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.145638,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.210134,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.253239,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.309670,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.350016,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.422275,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.447525,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.513570,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.545206,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.686268,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.686829,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.707092,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.785328,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.820651,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.845765,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.924612,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:29.967433,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.008029,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.068057,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.107880,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.149780,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.287495,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.290394,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.313978,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.341778,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.417149,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.456247,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.507232,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.552277,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.621346,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.646452,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.718251,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.742592,54,52.46.136.99,443,1.0,2035,1,1,,1,ack
2018-10-23 11:26:30.763765,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.823384,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.857394,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.914060,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:30.958207,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.009983,54,52.46.136.99,443,1.0,267,1,1,,1,ack
2018-10-23 11:26:31.010756,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 11:26:31.023791,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.041496,54,52.46.136.99,443,1.0,30,1,1,,1,ack
2018-10-23 11:26:31.042559,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-23 11:26:31.074392,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.112828,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.130639,54,52.46.136.99,443,1.0,88,1,1,,1,ack
2018-10-23 11:26:31.139083,54,52.46.136.99,443,1.0,8,1,1,,1,ack
2018-10-23 11:26:31.139846,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 11:26:31.147074,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.180923,54,52.46.136.99,443,1.0,41,1,1,,1,ack
2018-10-23 11:26:31.182591,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-23 11:26:31.182767,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 11:26:31.200226,54,52.46.136.99,443,1.0,17,1,1,,1,ack
2018-10-23 11:26:31.201596,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-23 11:26:31.203257,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-23 11:26:31.203774,99,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.212595,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.221787,54,52.46.136.99,443,1.0,18,1,1,,1,ack
2018-10-23 11:26:31.223118,99,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.250607,54,52.46.136.99,443,1.0,28,1,1,,1,ack
2018-10-23 11:26:31.250753,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 11:26:31.250831,91,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.250908,91,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.252179,54,52.46.136.99,443,1.0,1,1,1,,1,ack
2018-10-23 11:26:31.269325,54,52.46.136.99,443,1.0,17,1,1,,1,ack
2018-10-23 11:26:31.272464,54,52.46.136.99,443,1.0,3,1,1,,1,ack
2018-10-23 11:26:31.272542,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 11:26:31.305331,54,52.46.136.99,443,1.0,32,1,1,,1,ack
2018-10-23 11:26:31.323819,468,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:31.417880,54,52.46.136.99,443,1.0,112,1,1,,1,ack
2018-10-23 11:26:31.442090,54,52.46.136.99,443,1.0,24,1,1,,1,ack
2018-10-23 11:26:32.578673,54,52.216.229.43,80,1.0,-205465506,1,1,,1,ack
2018-10-23 11:26:40.942040,177,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.087504,77,104.154.126.169,4070,2.0,0,1,1,,1,syn
2018-10-23 11:26:57.106171,66,104.154.126.169,4070,1.0,30012,1,1,,1,ack
2018-10-23 11:26:57.727208,289,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.741627,1210,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.756591,631,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.759105,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.760127,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.762769,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.763715,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.772711,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.781457,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.786226,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.789486,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.810037,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.810629,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.810643,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.810654,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.810681,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.811808,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.813754,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.814874,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.816114,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.816815,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.827750,928,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.832797,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.835237,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.847489,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.849018,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.852947,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.853636,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.854463,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.855037,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.864539,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:26:57.866021,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
