date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 07:22:54.904010,54,52.216.160.235,80,1.0,-17000782,1,1,,1,ack
2018-10-23 07:23:10.129018,77,104.154.127.233,4070,2.0,0,1,1,,1,syn
2018-10-23 07:23:10.147688,66,104.154.127.233,4070,1.0,264148694,1,1,,1,ack
2018-10-23 07:23:14.932892,287,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:14.947420,434,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:14.952965,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:14.953807,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.039973,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.040152,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.057064,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.058266,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.058296,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.058321,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.058344,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.058374,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.060102,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.060138,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.072143,54,52.46.136.99,443,1.0,-16970351,1,1,,1,ack
2018-10-23 07:23:15.076410,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.077467,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.078330,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.079293,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.079325,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.079581,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.079612,173,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.122282,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.167277,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.216682,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.286684,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.318430,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.381821,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.407224,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.471897,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.521019,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.577483,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.617606,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.689921,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.709851,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.781301,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.810324,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.875210,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.924203,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:15.991177,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.022757,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.081161,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.111715,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.179985,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.205965,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.278400,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.320970,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.370141,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.419526,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.483185,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.514498,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.582416,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.605246,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.691133,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.715566,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.767896,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.817100,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.879693,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.911378,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:16.983142,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:17.012031,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:17.074908,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:17.122599,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:17.168105,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:17.220309,54,52.46.136.99,443,1.0,2148,1,1,,1,ack
2018-10-23 07:23:17.220483,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:17.245790,54,52.46.136.99,443,1.0,25,1,1,,1,ack
2018-10-23 07:23:17.282626,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 07:23:17.306428,54,52.46.136.99,443,1.0,60,1,1,,1,ack
2018-10-23 07:23:17.410577,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
