date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 11:46:40.015993,66,23.221.5.162,443,1.0,2306935,1,1,,1,ack
2018-10-23 11:46:41.708406,54,52.216.176.179,80,1.0,2439585,1,1,,1,ack
2018-10-23 11:46:45.768015,77,104.154.126.169,4070,2.0,0,1,1,,1,syn
2018-10-23 11:46:45.787051,66,104.154.126.169,4070,1.0,2384697,1,1,,1,ack
2018-10-23 11:46:52.446817,290,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.459224,1252,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.473517,231,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.475804,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.478064,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.479435,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.623798,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.624282,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.624316,1514,52.46.136.99,443,1.0,2427378,1,1,,1,not_relevant
2018-10-23 11:46:52.624701,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-23 11:46:52.624731,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.624755,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-23 11:46:52.624807,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 11:46:52.718073,1514,52.46.136.99,443,1.0,93,1,1,,1,not_relevant
2018-10-23 11:46:52.719468,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.719499,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.720923,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.720954,401,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.735654,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.739173,54,52.46.136.99,443,1.0,21,1,1,,1,ack
2018-10-23 11:46:52.811140,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.865659,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.899466,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:52.971990,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:53.029476,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:53.045577,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:53.107310,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:53.134737,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:53.207924,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:46:53.232853,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
