date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 09:55:29.673604,54,52.46.128.105,443,1.0,-76849456,1,1,,1,ack
2018-10-22 09:55:29.674435,695,52.46.128.105,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:29.674452,1514,52.46.128.105,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:29.674525,1514,52.46.128.105,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:29.674580,1514,52.46.128.105,443,1.0,0,1,1,,1,not_relevant
2018-10-22 09:55:29.674596,1514,52.46.128.105,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:29.674646,1514,52.46.128.105,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:29.694126,731,52.46.128.105,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:29.724496,54,52.46.128.105,443,1.0,49,1,1,,1,ack
2018-10-22 09:55:32.842002,95,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:32.860521,54,52.46.136.77,443,1.0,-76954962,1,1,,1,ack
2018-10-22 09:55:35.033303,281,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.079834,398,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.080760,1291,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.085310,928,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.092277,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.128004,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.129361,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.129393,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.129457,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.129854,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.130617,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.131183,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.161277,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.162062,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.162093,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.162116,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.162593,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.162906,909,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.180696,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.183505,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.198871,54,52.46.136.77,443,1.0,2338,1,1,,1,ack
2018-10-22 09:55:35.219277,54,52.46.136.77,443,1.0,20,1,1,,1,ack
2018-10-22 09:55:35.268229,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.273365,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.338236,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.372636,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.433168,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.491519,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.526275,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.571771,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.642318,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.672767,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.733298,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.759536,54,52.46.128.105,443,1.0,6035,1,1,,1,ack
2018-10-22 09:55:35.767273,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.845568,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.880995,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.924526,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:35.976666,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 09:55:36.043583,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
