date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-22 10:34:30.530125,54,52.216.166.107,80,1.0,-4423891,1,1,,1,ack
2018-10-22 10:34:31.073815,77,104.154.126.114,4070,2.0,0,1,1,,1,syn
2018-10-22 10:34:31.092937,66,104.154.126.114,4070,1.0,-4432836,1,1,,1,ack
2018-10-22 10:34:35.601336,54,52.217.0.139,80,1.0,-4319104,1,1,,1,ack
2018-10-22 10:34:38.802853,287,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.827257,362,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.836077,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.836105,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.857101,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.861809,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.862589,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.863713,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.886726,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.886755,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.886780,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.886803,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.891140,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.893632,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.895725,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.939812,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.940567,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.940597,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.940620,110,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:34:38.942044,1291,52.46.136.77,443,3.0,0,1,1,23,1,expected
