date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 10:53:13.575942,95,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:13.663155,54,52.46.136.99,443,1.0,275678054,1,1,,1,ack
2018-10-23 10:53:16.330174,287,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.395172,937,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.417536,631,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.419228,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.419648,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.426365,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.428147,1431,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.429660,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.429690,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.462034,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.468136,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.468808,231,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.482296,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.489977,1514,52.46.136.99,443,1.0,2826,1,1,,1,not_relevant
2018-10-23 10:53:16.490010,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.490033,948,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.498574,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.542934,54,52.46.136.99,443,1.0,52,1,1,,1,ack
2018-10-23 10:53:16.561075,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.603736,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.659051,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.725037,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.756164,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.803962,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.867045,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.899069,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.965127,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:16.990441,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.058931,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.108681,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.150362,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.212946,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.276674,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.296308,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.362565,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.425379,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.458095,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.519941,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.553716,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:53:17.604342,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
