date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-25 20:26:36.644298,54,52.216.176.155,80,1.0,222692011,1,1,,1,ack
2018-10-25 20:26:37.648123,283,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.665549,967,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.682166,1514,52.46.132.49,443,1.0,222829054,1,1,,1,not_relevant
2018-10-25 20:26:37.682293,771,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.692791,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.693332,891,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.700077,54,52.46.132.49,443,1.0,17,1,1,,1,ack
2018-10-25 20:26:37.723364,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.723701,1291,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.724864,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.726221,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.726701,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.727584,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.728306,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.742573,1514,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.744241,1514,52.46.132.49,443,1.0,44,1,1,,1,not_relevant
2018-10-25 20:26:37.752867,1514,52.46.132.49,443,1.0,8,1,1,,1,not_relevant
2018-10-25 20:26:37.754179,185,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.767018,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.767658,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.770863,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.836500,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.873510,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.935004,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:37.982380,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.027421,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.080784,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.139424,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.245615,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.246189,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.266838,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.343813,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.386441,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.429395,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.517101,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.549350,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.567153,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.668590,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.705483,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.732553,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.794260,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.850203,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.874317,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.938107,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:38.970989,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
2018-10-25 20:26:39.042464,491,52.46.132.49,443,3.0,0,1,1,23,1,expected
