date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 06:37:53.566809,66,104.154.127.233,4070,1.0,89957557,1,1,,1,ack
2018-10-23 06:37:56.707327,54,52.216.84.179,80,1.0,89836913,1,1,,1,ack
2018-10-23 06:37:56.950338,77,104.154.127.233,4070,2.0,0,1,1,,1,syn
2018-10-23 06:37:56.969783,66,104.154.127.233,4070,1.0,3402,1,1,,1,ack
2018-10-23 06:37:59.345427,285,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.375649,940,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.379863,231,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.383266,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.400322,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.401677,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.401707,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.401731,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.402736,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.414762,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.416171,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.417358,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.422265,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.426072,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.428148,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.436769,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.438035,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.438077,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.440620,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.452235,631,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.462475,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.462933,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.466169,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.484178,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.484703,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.484735,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.484783,231,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.507549,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.531563,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.566661,54,52.46.136.99,443,1.0,89840462,1,1,,1,ack
2018-10-23 06:37:59.593936,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.641132,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.699116,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.738237,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.802004,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.833734,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.910916,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:37:59.936989,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.004742,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.044495,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.090164,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.207318,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.207508,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.296366,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.328794,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.330148,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.401968,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.466707,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.490494,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.541516,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.617294,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.655090,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.738260,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.791852,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.794631,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.822983,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.891399,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.936414,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:00.985353,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.033970,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.098941,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.130598,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.193775,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.238420,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.310088,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.340223,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.383389,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.431171,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.504772,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.540998,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.598984,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.638604,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.657738,54,52.46.136.99,443,1.0,2091,1,1,,1,ack
2018-10-23 06:38:01.703606,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.755424,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.800069,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.835963,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.882283,54,52.46.136.99,443,1.0,224,1,1,,1,ack
2018-10-23 06:38:01.900719,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:01.936177,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.011080,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.038093,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.095516,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.126738,54,52.46.136.99,443,1.0,244,1,1,,1,ack
2018-10-23 06:38:02.138910,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.185656,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.235980,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.303554,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.331762,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.394390,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.438353,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.487978,54,52.46.136.99,443,1.0,361,1,1,,1,ack
2018-10-23 06:38:02.488850,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 06:38:02.491645,54,52.46.136.99,443,1.0,2,1,1,,1,ack
2018-10-23 06:38:02.491815,54,52.46.136.99,443,1.0,0,1,1,,1,ack
2018-10-23 06:38:02.505327,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.536977,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.562770,54,52.46.136.99,443,1.0,70,1,1,,1,ack
2018-10-23 06:38:02.564170,99,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 06:38:02.567044,54,52.46.136.99,443,1.0,4,1,1,,1,ack
2018-10-23 06:38:02.569862,54,52.46.136.99,443,1.0,2,1,1,,1,ack
2018-10-23 06:38:02.575200,54,52.46.136.99,443,1.0,5,1,1,,1,ack
2018-10-23 06:38:02.584384,54,52.46.136.99,443,1.0,9,1,1,,1,ack
2018-10-23 06:38:02.590710,54,52.46.136.99,443,1.0,6,1,1,,1,ack
2018-10-23 06:38:02.605101,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
