date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 08:29:23.012304,54,52.216.162.131,80,1.0,-293497568,1,1,,1,ack
2018-10-22 08:29:26.693330,286,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.764546,358,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.772756,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.772804,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.781687,1291,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.788099,891,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.811994,1514,52.46.136.77,443,1.0,-293487480,1,1,,1,not_relevant
2018-10-22 08:29:26.812026,1267,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.812071,935,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.836110,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.836526,1514,52.46.136.77,443,1.0,24,1,1,,1,not_relevant
2018-10-22 08:29:26.838560,1514,52.46.136.77,443,1.0,2,1,1,,1,not_relevant
2018-10-22 08:29:26.838590,1125,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.875406,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.937970,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:26.950479,54,52.46.136.77,443,1.0,111,1,1,,1,ack
2018-10-22 08:29:26.955709,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:27.086990,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:27.090782,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:27.118213,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 08:29:27.165548,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
