date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 10:48:22.870343,77,104.154.126.169,4070,2.0,0,1,1,,1,syn
2018-10-23 10:48:22.890698,66,104.154.126.169,4070,1.0,99843510,1,1,,1,ack
2018-10-23 10:48:32.841939,288,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:32.908455,938,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:32.919400,631,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:32.924636,1365,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:32.936226,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:32.936731,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:32.952121,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:32.952895,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:32.998309,1514,52.46.136.99,443,1.0,99849965,1,1,,1,not_relevant
2018-10-23 10:48:32.999027,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:32.999058,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-23 10:48:33.000962,1514,52.46.136.99,443,1.0,1,1,1,,1,not_relevant
2018-10-23 10:48:33.000993,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.001034,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-23 10:48:33.001085,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-23 10:48:33.028546,1322,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.030777,54,52.46.136.99,443,1.0,29,1,1,,1,ack
2018-10-23 10:48:33.036802,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.084755,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.158179,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.223265,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.244707,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.293552,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.347090,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.392081,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.443487,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.489758,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.554055,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.591799,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.652051,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.676592,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.749794,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.789049,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.837610,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.886156,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.952404,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:33.985890,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.049849,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.081524,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.149687,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.192423,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.244349,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.290428,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.356503,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.391443,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.453957,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.515053,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.545884,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 10:48:34.617705,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
