date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 07:41:53.930462,66,104.154.127.233,4070,1.0,-212363070,1,1,,1,ack
2018-10-23 07:41:57.018112,74,52.85.113.9,80,1.0,-212358878,0,1,,1,retransmit
2018-10-23 07:41:57.030327,66,52.85.113.9,80,1.0,12,1,1,,1,ack
2018-10-23 07:41:57.030460,150,52.85.113.9,80,3.0,0,1,1,,1,not_relevant
2018-10-23 07:41:57.043971,66,52.85.113.9,80,1.0,13,1,1,,1,ack
2018-10-23 07:41:57.045751,66,52.85.113.9,80,1.0,1,1,1,,1,ack
2018-10-23 07:41:57.051217,54,52.216.236.171,80,1.0,-212108968,1,1,,1,ack
2018-10-23 07:41:57.057498,66,52.85.113.9,80,1.0,11,1,1,,1,ack
2018-10-23 07:41:57.091327,74,52.216.110.91,80,1.0,-212109023,0,1,,1,retransmit
2018-10-23 07:41:57.108438,54,52.216.110.91,80,1.0,17,1,1,,1,ack
2018-10-23 07:41:57.110057,200,52.216.110.91,80,3.0,0,1,1,,1,not_relevant
2018-10-23 07:41:57.138743,54,52.216.110.91,80,1.0,30,1,1,,1,ack
2018-10-23 07:41:57.138875,54,52.216.110.91,80,1.0,0,1,1,,1,ack
2018-10-23 07:41:57.270291,54,52.216.236.171,80,1.0,219,1,1,,1,ack
2018-10-23 07:41:57.495010,54,52.216.236.171,80,1.0,224,1,1,,1,ack
2018-10-23 07:41:57.930559,54,52.216.236.171,80,1.0,435,1,1,,1,ack
2018-10-23 07:41:58.825471,54,52.216.236.171,80,1.0,894,1,1,,1,ack
2018-10-23 07:41:58.884191,77,104.154.127.233,4070,2.0,0,1,1,,1,syn
2018-10-23 07:41:58.905731,66,104.154.127.233,4070,1.0,4975,1,1,,1,ack
2018-10-23 07:41:59.094870,284,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.120205,344,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.131411,1291,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.132082,891,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.144731,891,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.147242,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.148219,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.152915,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.154902,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.175609,1328,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.176722,1291,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.179801,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.181310,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.189081,1291,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.194783,1365,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.196447,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.202629,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.206159,928,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.214322,1514,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.217744,445,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.222405,54,52.46.156.66,443,1.0,-212111019,1,1,,1,ack
2018-10-23 07:41:59.252961,54,52.46.156.66,443,1.0,30,1,1,,1,ack
2018-10-23 07:41:59.262821,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.284908,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
2018-10-23 07:41:59.332897,491,52.46.156.66,443,3.0,0,1,1,23,1,expected
