date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-23 11:53:01.530973,95,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:01.549495,54,52.46.136.99,443,1.0,87075961,1,1,,1,ack
2018-10-23 11:53:10.665169,958,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.668251,1291,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.691712,267,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.714058,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.714536,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.715316,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.715875,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.718394,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.730917,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.732383,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.743721,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.747711,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.748887,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.761930,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.766852,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.773168,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.776294,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.794673,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.795170,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.795200,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.795238,1514,52.46.136.99,443,1.0,9245,1,1,,1,not_relevant
2018-10-23 11:53:10.795941,445,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.799118,891,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.816823,1514,52.46.136.99,443,1.0,21,1,1,,1,not_relevant
2018-10-23 11:53:10.818238,1171,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.838015,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.869311,54,52.46.136.99,443,1.0,52,1,1,,1,ack
2018-10-23 11:53:10.883964,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.952129,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:10.988016,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.058015,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.075140,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.141577,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.193412,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.235682,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.285494,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.360763,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.383127,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.448835,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.473699,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.547109,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.589150,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.635049,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.683422,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.752963,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.780625,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.846792,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.881995,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:11.944482,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.019688,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.039333,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.088176,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.154015,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.178770,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.251998,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.277255,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.342436,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.389702,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.443332,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.492207,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.559862,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.637273,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.664591,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.681625,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.748134,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.797523,186,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.797860,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:53:12.841772,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
