date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 10:09:26.942315,95,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:27.017920,54,52.46.136.77,443,1.0,-76407886,1,1,,1,ack
2018-10-22 10:09:28.529250,54,52.217.0.131,80,1.0,-76541938,1,1,,1,ack
2018-10-22 10:09:29.781321,77,104.154.126.114,4070,2.0,0,1,1,,1,syn
2018-10-22 10:09:29.800177,66,104.154.126.114,4070,1.0,-76539858,1,1,,1,ack
2018-10-22 10:09:34.920792,54,52.216.16.64,80,1.0,-76507835,1,1,,1,ack
2018-10-22 10:09:37.673503,285,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.725167,415,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.736766,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.737107,891,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.798829,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.799637,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.799669,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.799693,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.799731,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.799754,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.799778,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.824701,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.824924,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.826866,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.826898,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.826920,749,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.882641,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 10:09:37.963681,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
