date,length,dstip,dstport,highest_layer,delta,ack_flag,microphone,content_type,synchronized,class
2018-10-22 11:32:17.137404,95,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:17.156276,54,52.46.136.77,443,1.0,-73839913,1,1,,1,ack
2018-10-22 11:32:21.796052,285,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.826831,976,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.842067,1291,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.844273,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.848498,891,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.873114,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.875225,231,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.890452,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.891582,1514,52.46.136.77,443,1.0,4735,1,1,,1,not_relevant
2018-10-22 11:32:21.892453,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.893828,659,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.909097,1514,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.909477,779,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.927265,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:21.981364,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.039794,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.077115,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.117411,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.174941,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.223913,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.267630,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.314103,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.390612,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.513012,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.513200,54,52.216.101.59,80,1.0,-73937870,1,1,,1,ack
2018-10-22 11:32:22.513405,491,52.46.136.77,443,1.0,621,1,1,,1,not_relevant
2018-10-22 11:32:22.513422,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.513433,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.628621,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.628860,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.674254,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.755853,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.782379,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
2018-10-22 11:32:22.818306,491,52.46.136.77,443,3.0,0,1,1,23,1,expected
