date,length,dst,dstport,highest_layer,delta,ack_flag,microphone,content_type,sychronized,class
2018-10-23 11:49:49.732113,77,104.154.126.169,4070,2.0,0,1,1,,1,syn
2018-10-23 11:49:49.752026,66,104.154.126.169,4070,1.0,105757054,1,1,,1,ack
2018-10-23 11:49:54.278131,290,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.279511,1248,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.309827,1514,52.46.136.99,443,1.0,105607038,1,1,,1,not_relevant
2018-10-23 11:49:54.309859,771,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.388429,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.389251,1514,52.46.136.99,443,1.0,79,1,1,,1,not_relevant
2018-10-23 11:49:54.389275,1267,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.389324,1514,52.46.136.99,443,1.0,0,1,1,,1,not_relevant
2018-10-23 11:49:54.405587,54,52.46.136.99,443,1.0,16,1,1,,1,ack
2018-10-23 11:49:54.406722,1514,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.407619,1514,52.46.136.99,443,1.0,2,1,1,,1,not_relevant
2018-10-23 11:49:54.408385,992,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.419159,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.466588,54,52.46.136.99,443,1.0,58,1,1,,1,ack
2018-10-23 11:49:54.468318,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.502335,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.566348,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.613983,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.658648,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.705049,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.752185,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.809851,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.870338,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.901555,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.967319,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:54.992154,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.065376,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.110105,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.157447,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.207178,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.269385,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.316935,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.360245,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.394583,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.463658,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.510348,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.565966,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.604973,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.668050,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.699375,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.765152,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.795316,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.861706,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.907125,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:55.956156,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.019935,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.068334,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.102407,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.170939,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.194123,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.259849,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.304807,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.352649,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.409912,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.472028,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.503517,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.568564,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.598687,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.628393,54,52.46.136.99,443,1.0,2161,1,1,,1,ack
2018-10-23 11:49:56.659512,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.714859,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.753539,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.766927,54,52.46.136.99,443,1.0,138,1,1,,1,ack
2018-10-23 11:49:56.803981,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
2018-10-23 11:49:56.871570,491,52.46.136.99,443,3.0,0,1,1,23,1,expected
